time,map_url,best_az_deg,best_alt_deg,best_val,actual_az_deg,actual_alt_deg,actual_val,gain,time_offset_min
2025-07-20 00:15:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T00:14:22.227_B_cloud_sys_62043135_62043138.hdf5,315.03948793026126,32.28948633418852,-0.5632688999176025,147.97774676005386,20.218672935425857,0.16398727893829346,0.727256178855896,7.116666666666667
2025-07-20 00:20:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T00:19:41.353_B_cloud_zps_62043185_62043188.hdf5,143.70738537313693,19.995623037867556,-0.09322292357683182,147.68923023416562,20.79515210469005,0.0043898699805140495,0.09761279355734587,2.116666666666668
2025-07-20 00:25:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T00:24:28.566_B_cloud_sys_62043230_62043233.hdf5,9.90675252845627,29.071191382926557,-0.4737566113471985,140.6982079960335,26.40965144955861,0.04667812958359718,0.5204347409307957,0.16666666666666607
2025-07-20 00:30:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T00:29:47.693_B_cloud_sys_62043280_62043283.hdf5,53.634050369985495,43.82111013521639,-0.7495613694190979,158.11292463501812,29.84636352789509,0.02679402567446232,0.7763553950935602,0.016666666666669272
2025-07-20 00:40:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T00:39:22.120_B_cloud_zps_62043370_62043373.hdf5,117.92237052943963,48.51050931062891,-0.14180999994277954,145.0001401566527,25.872841356632676,0.06519550830125809,0.20700550824403763,0.16666666666666607
2025-07-20 00:45:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T00:44:41.246_B_cloud_sys_62043420_62043423.hdf5,213.96705767882375,19.479480416154818,-0.6862835884094238,152.91087239168047,28.83574513633984,0.04091576486825943,0.7271993532776833,0.050000000000001155
2025-07-20 00:50:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T00:49:28.460_B_cloud_sys_62043465_62043468.hdf5,112.68712169997792,57.01442511000981,-0.891870379447937,155.66104977702008,23.50357107763702,0.015244673006236553,0.9071150524541736,0.10000000000000231
2025-07-20 02:35:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T02:34:47.159_B_cloud_sys_62044455_62044458.hdf5,266.5685398875289,45.90159122754724,-0.4324630796909332,135.56583297511457,31.65746358709029,0.050579193979501724,0.48304227367043495,0.13333333333335418
2025-07-20 02:40:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T02:39:34.373_B_cloud_zps_62044500_62044503.hdf5,310.2776068761641,26.98977331911305,-0.08060204237699509,146.06442209870013,22.70096252079509,0.038015756756067276,0.11861779913306236,0.23333333333331652
2025-07-20 03:10:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T03:09:21.480_B_cloud_zps_62044780_62044783.hdf5,219.7716261061665,24.786831730756443,-0.09136568754911423,135.15057780585278,34.030763017323714,0.030300576239824295,0.12166626378893852,0.08333333333331971
2025-07-20 03:15:00+00:00,s3://lfa@rubinobs-lfa-cp/DREAM/dream/2025/07/19/DREAM_dream_2025-07-20T03:14:40.606_B_cloud_sys_62044830_62044833.hdf5,270.06705759270096,22.242435953716484,-0.6166091561317444,144.6122384529239,23.916499385840083,-0.012057030573487282,0.6045521255582571,0.18333333333333535
