observationId,fieldRA,fieldDec,observationStartMJD,flush_by_mjd,visitExposureTime,band,filter,rotSkyPos,rotSkyPos_desired,numExposures,airmass,seeingFwhm500,seeingFwhmEff,seeingFwhmGeom,skyBrightness,night,slewTime,visitTime,slewDistance,fiveSigmaDepth,altitude,azimuth,paraAngle,pseudoParaAngle,cloud,moonAlt,sunAlt,scheduler_note,target_name,target_id,observationStartLST,rotTelPos,rotTelPos_backup,moonAz,sunAz,sunRA,sunDec,moonRA,moonDec,moonDistance,solarElong,moonPhase,cummTelAz,observation_reason,science_program,cloud_extinction
1212064,314.76898462796265,-17.430849313371983,63141.98505583875,63142.0278461066,30.0,r,r,178.459844269421,0.0,1,1.0790399856075783,0.8234058862489692,1.0705081896083302,0.9319577318580474,20.045764649272552,2161,75.32085795051364,31.0,20.47256179569315,23.681803342330657,67.64417773534963,59.177843170101504,230.99100909039964,-128.87825248918105,0.25,-16.194769439063727,-12.28134049117618,"pair_15, ri, a",lowdust,1793654,295.36191115038343,-37.338096758602056,0.0,81.31796270184392,258.1578698247797,188.38948096353857,-3.6183005047984853,34.98389152114369,15.258649149969623,85.5495581857505,123.0835307843949,84.08330837741958,58.98128692577047,pairs_ri_15.0,BLOCK-365,0.0
1212065,318.0675097387506,-18.0399843461088,63141.98548166071,63142.0278461066,30.0,r,r,182.60313072718316,0.0,1,1.093548446598468,0.8234058862489692,1.079121357019698,0.9390377554701917,20.101281722649485,2161,5.791018089281228,31.0,3.200204668225999,23.698230056093923,65.60512423961363,64.92235160884319,235.3144854565278,-124.562361588259,0.25,-16.070200096948533,-12.410449724007837,"pair_15, ri, a",lowdust,1793655,295.5156267678725,-37.16549231544214,0.0,81.248300488946,258.07510420232245,188.38986671030202,-3.6184652822176058,34.9899314424096,15.26057744183134,82.75862295396365,125.89672277216134,84.08013557040037,65.14535928289538,pairs_ri_15.0,BLOCK-365,0.0
1212066,319.43570388137243,-20.901095800767173,63141.985912198266,63142.0278461066,30.0,r,r,189.1510061032834,0.0,1,1.089140009475513,0.8234058862489692,1.0765090823739252,0.9368904657113665,20.165758066401736,2161,6.198445030342258,31.0,3.1383831284023227,23.732679325659724,66.11909608567719,72.35411761772312,241.69464850896918,-118.18357389039932,0.25,-15.944268209690698,-12.54094369801366,"pair_15, ri, a",lowdust,1793656,295.67104464599504,-37.334579993682716,0.0,81.17783434140043,257.9912805924176,188.39025672910552,-3.6186318842746767,34.996032553565655,15.262527192539334,82.48287484383127,126.13629901569307,84.07693047288151,72.93913940426441,pairs_ri_15.0,BLOCK-365,0.0
1212067,322.7116361672551,-21.629019477510496,63141.9863344214,63142.0278461066,30.0,r,r,192.3303015486215,0.0,1,1.1089515242542036,0.8234058862489692,1.0882157526356924,0.9465133486665391,20.22928498791248,2161,5.480079197869118,31.0,3.1383830568659836,23.74917628156559,63.84270160412344,76.97897163037041,244.76137713731617,-115.12502168306655,0.25,-15.820784833321115,-12.66887363825241,"pair_15, ri, a",lowdust,1793657,295.8234611383417,-37.455323231688055,0.0,81.10869715577259,257.90893736801496,188.390639216216,-3.6187952688407123,35.002010278586724,15.264439392525881,79.87727956849514,128.67657874094192,84.07379005007421,77.84989263303298,pairs_ri_15.0,BLOCK-365,0.0
1212068,320.8395775329118,-23.77521801538183,63141.98675656986,63142.0278461066,30.0,r,r,195.8193914549158,0.0,1,1.0866943898875607,0.8234058862489692,1.075058075935145,0.9356977384186891,20.302776827737354,2161,5.473626808481532,31.0,2.754666996344829,23.800688640345896,66.40963974717071,79.89547810736215,248.1823734370714,-111.69712461929649,0.25,-15.69733968241923,-12.79673741994202,"pair_15, ri, a",lowdust,1793658,295.9758506715192,-37.516516074212284,0.0,81.03954052674455,257.8264714333196,188.39102163591096,-3.6189586243898595,35.00798143884103,15.266351355577976,82.2589181282494,126.22593285102796,84.07065293368481,80.960655879344,pairs_ri_15.0,BLOCK-365,0.0
1212069,324.0122824783388,-24.5973206728405,63141.98717863876,63142.0278461066,30.0,r,r,198.4393745753144,0.0,1,1.1064380215520526,0.8234058862489692,1.0867351787416868,0.9452963169256665,20.357557050966932,2161,5.466753238154013,31.0,3.008596685601019,23.81286489527979,64.11386039619866,84.03394466642126,250.71202893159273,-109.1755653453876,0.25,-15.573934173528135,-12.924533590389862,"pair_15, ri, a",lowdust,1793659,296.12821148707405,-37.614939920702,0.0,80.97036514071284,257.74388355094544,188.39140398377424,-3.6191219490357813,35.01394596844288,15.26826305956113,79.8666194435119,128.4842558064079,84.06751915843263,85.32104432733168,pairs_ri_15.0,BLOCK-365,0.0
1212070,325.89522092301814,-22.385103478764336,63141.98760060264,63142.0278461066,30.0,r,r,194.74210551746526,0.0,1,1.1285375864620752,0.7724990813230138,1.0459753453625609,0.911791733888025,20.411924646255734,2161,5.457679389913309,31.0,2.8063153836768775,23.877731069854114,61.83916846361349,80.73935419296146,247.0931857989708,-112.8015394921481,0.25,-15.450575741671624,-13.052254467456956,"pair_15, ri, a",lowdust,1793660,296.28053439110624,-37.54364500961336,0.0,80.90117506305684,257.66117853074724,188.39178623673638,-3.6192852329242418,35.019903511179216,15.270174389064804,77.43472108496506,131.02263463761892,84.0643889115928,82.06870736422805,pairs_ri_15.0,BLOCK-365,0.0
1212071,327.1046542802657,-25.40783919737692,63141.988028777756,63142.0278461066,30.0,r,r,200.3966064933553,0.0,1,1.1272486924748482,0.7724990813230138,1.0452584213771479,0.9112024223720155,20.480241335932444,2161,5.994330181030337,31.0,3.2185675345521263,23.911429345595042,61.96931591448907,87.47229064351475,252.60744461265085,-107.28845774871924,0.25,-15.32541822620581,-13.181810920378854,"pair_15, ri, a",lowdust,1793661,296.43509946296797,-37.68506424207453,0.0,80.83093377860884,257.5771151123093,188.39217411663984,-3.6194509202033265,35.02594312386045,15.272113956450921,77.61275130639336,130.56340515818115,84.06121539733309,89.0460280883494,pairs_ri_15.0,BLOCK-365,0.0
1212072,330.8375094761522,-20.844939408938306,63141.98846468727,63142.0278461066,30.0,r,r,193.5559490408085,0.0,1,1.1814875570680348,0.7724990813230138,1.0751506514710145,0.9357738355091739,20.50622586141444,2161,6.662582141888828,31.0,5.709157087549249,23.886411239240907,57.27812067068675,81.3245112718354,245.90602118617832,-114.00414036579689,0.25,-15.198017226080909,-13.313661632758263,"pair_15, ri, a",lowdust,1793662,296.5924565397912,-37.56008940660539,0.0,80.75938966521713,257.4913870285145,188.39256900330977,-3.6196196002698837,35.032086014281575,15.27408866647898,72.61975525416943,135.8020789880373,84.05798746485944,82.87851142589571,pairs_ri_15.0,BLOCK-365,0.0
1212073,332.60578550492187,-18.552465105003755,63141.98888707545,63142.0278461066,30.0,r,r,190.85244635246045,0.0,1,1.2138685949281356,0.7724990813230138,1.0927349567087201,0.9502281344145679,20.55880391894474,2161,5.494339582254504,31.0,2.83309692539609,23.889858794778853,54.92226346512544,78.77688370310177,243.25218915307053,-116.66438629553934,0.25,-15.074584697748374,-13.44137823926199,"pair_15, ri, a",lowdust,1793663,296.7449326126265,-37.5168326479998,0.0,80.69003188021694,257.40817715404984,188.39295164136706,-3.6197830479872644,35.038032759290736,15.27600222667137,70.1586842083513,138.36713182013102,84.05486245642669,80.40544061868677,pairs_ri_15.0,BLOCK-365,0.0
