observationId,fieldRA,fieldDec,observationStartMJD,flush_by_mjd,visitExposureTime,band,filter,rotSkyPos,rotSkyPos_desired,numExposures,airmass,seeingFwhm500,seeingFwhmEff,seeingFwhmGeom,skyBrightness,night,slewTime,visitTime,slewDistance,fiveSigmaDepth,altitude,azimuth,paraAngle,pseudoParaAngle,cloud,moonAlt,sunAlt,scheduler_note,target_name,target_id,observationStartLST,rotTelPos,rotTelPos_backup,moonAz,sunAz,sunRA,sunDec,moonRA,moonDec,moonDistance,solarElong,moonPhase,cummTelAz,observation_reason,science_program,cloud_extinction
1288989,38.93666942082783,-47.82197901148807,63259.03061234405,63259.07279643071,30.0,i,i,272.63239297035824,0.0,1,1.1273544688236936,1.0424753112775955,1.2717415394995777,1.0973715454686528,18.639153333470784,2278,127.69491300371794,31.0,30.16492413150614,22.722554786631676,62.51942771876447,222.77677737199897,60.63477577343764,60.47014609792453,0.0,12.17872314566372,-12.41545405634555,"pair_15, iz, a",lowdust,1910542,67.12789756564997,57.83775312756626,0.0,67.38250721843328,239.9028722811021,309.58467486675227,-18.47313804965312,134.31632730627467,12.754433799491043,103.00308922858825,75.99448011585145,95.93834710438577,-137.54236950557691,pairs_iz_15.0,BLOCK-365,0.0
1288990,37.09171424134721,-50.60657054087979,63259.03103442985,63259.07279643071,30.0,i,i,271.665484493611,0.0,1,1.1583913279783082,1.0424753112775955,1.2926344949732673,1.1145455548680256,18.63577483241795,2278,5.468213259952082,31.0,3.0339590423636738,22.700217301198087,59.98525230400705,219.15324018789715,58.97144802784437,58.80509073884078,0.0,12.297016874366413,-12.528500481083768,"pair_15, iz, a",lowdust,1910543,67.2802644799125,57.1396062452298,0.0,67.29822866590509,239.8121525618335,309.58511224662874,-18.473029370999285,134.3204450732261,12.75344202242485,104.38811372540495,74.27282368671015,95.93673649218127,-141.2839048740256,pairs_iz_15.0,BLOCK-365,0.0
1288991,34.553193965286546,-47.97562020309668,63259.03146004434,63259.07279643071,30.0,i,i,279.04055795386944,0.0,1,1.1628134929287544,1.0424753112775955,1.2955930217954177,1.1169774639158334,18.673447587516527,2278,5.7730922179387,31.0,3.1081235154287166,22.71596467081789,59.63991658207535,225.40642634994623,66.4008118959935,66.25259970491477,0.0,12.416228068116723,-12.642381272877188,"pair_15, iz, a",lowdust,1910544,67.43390520160428,57.2120417510453,0.0,67.21307411114643,239.72047530788464,309.5855532824539,-18.472919782770973,134.32459237317246,12.752441303996898,105.94964634826829,73.07755732670668,95.93511338143956,-135.19153600227082,pairs_iz_15.0,BLOCK-365,0.0
1288992,32.51670560836627,-50.66027236267139,63259.031881458264,63259.07279643071,30.0,i,i,277.69094534522975,0.0,1,1.1934702390602723,0.8946943038712893,1.159848421799014,1.0053954027187895,18.693809432959647,2278,5.410163805644862,31.0,2.9946442280589274,22.843276423835174,57.23002433285387,221.86486486246258,65.04187685371885,64.89444794767859,0.0,12.534191993155652,-12.755028592006258,"pair_15, iz, a",lowdust,1910545,67.58602958025985,57.20350260244882,0.0,67.12859011208556,239.6295055210775,309.5859899649172,-18.472811275117987,134.32869390177234,12.751449819020191,107.29368831684218,71.39441701760586,95.9335072459412,-138.81580037696867,pairs_iz_15.0,BLOCK-365,0.0
1288993,27.94670172745952,-50.50349138797899,63259.032304697495,63259.07279643071,30.0,i,i,283.18317701936303,0.0,1,1.2330291236083075,0.8946943038712893,1.1827644985009962,1.0242324177678188,18.700440213037574,2278,5.567869714193862,31.0,2.9056062527182447,22.82152733524569,54.5159565863525,224.1533221281224,70.56556664316831,70.43861381516706,0.0,12.65259603315471,-12.868054127175181,"pair_15, iz, a",lowdust,1910546,67.73881286818177,57.255436795804066,0.0,67.04356978149818,239.53794373015856,309.5864285382191,-18.47270229647971,134.33280834839678,12.750453395521111,110.20105329921283,68.51758986432456,95.93189511120497,-136.65460658803298,pairs_iz_15.0,BLOCK-365,0.0
1288994,25.770202767692325,-47.67648725304999,63259.03272792916,63259.07279643071,30.0,i,i,289.2438143165541,0.0,1,1.2437768710439252,0.8946943038712893,1.188939526736949,1.029308290977772,18.73063692258166,2278,5.567215856259549,31.0,3.165646797193479,22.829787349855458,53.85537988809653,229.52536409303184,76.66753265842941,76.5564557924538,0.0,12.770926973141862,-12.980967704871881,"pair_15, iz, a",lowdust,1910547,67.89159342500024,57.31264147589966,0.0,66.95837993785857,239.44618482992365,309.58686710307836,-18.472593318790572,134.33691786386876,12.749456344440798,111.85572050237434,67.2457856748992,95.93028396488468,-131.38574316299477,pairs_iz_15.0,BLOCK-365,0.0
1288995,23.41515701633653,-50.146508116962735,63259.03314811671,63259.07279643071,30.0,i,i,288.51126644300984,0.0,1,1.2807140597495987,0.8946943038712893,1.2100006009679318,1.0466204939956398,18.70532021769618,2278,5.304204730733332,31.0,2.9145563014358182,22.79465775164737,51.66518560473024,226.2130729748075,75.91419926796992,75.808769513949,0.0,12.888336593381682,-13.092960393452831,"pair_15, iz, a",lowdust,1910548,68.04327509946997,57.297503070939165,0.0,66.87363337032617,239.35488896667556,309.58730251294276,-18.472485123940476,134.34099301619494,12.748465826256817,113.11893793226416,65.63613430574793,95.92868535607215,-134.733641261914,pairs_iz_15.0,BLOCK-365,0.0
1288996,25.493428193142375,-53.057743409282104,63259.03357076501,63259.07279643071,30.0,i,i,283.06340881520265,0.0,1,1.275073826945749,0.8946943038712893,1.2068004915138428,1.0439900040243788,18.800713533074592,2278,5.516813348376412,31.0,3.1842439214774703,22.845261756316404,51.96120894894235,221.14484325603587,70.43641640532338,70.31447131035418,0.0,13.006363220507689,-13.20549963278199,"pair_15, iz, a",lowdust,1910549,68.19584506882929,57.25106249515153,0.0,66.78821990486232,239.26286014912316,309.5877404721066,-18.472376294473644,134.34508720386998,12.7474688655475,111.4548121618329,66.9176365273249,95.92707833945786,-139.80089465541963,pairs_iz_15.0,BLOCK-365,0.0
1288997,22.707927320326164,-55.575996548402784,63259.03399248833,63259.07279643071,30.0,i,i,283.254322824613,0.0,1,1.3208841345173143,0.8946943038712893,1.232631079842428,1.0652227476304759,18.76219831490547,2278,5.436895586645,31.0,2.9963804707570474,22.798833537092488,49.50237255651501,218.30585557227502,70.61745848782053,70.50297635907252,0.0,13.124060988265068,-13.317683303514418,"pair_15, iz, a",lowdust,1910550,68.3480811354715,57.248653534459535,0.0,66.70282257476664,239.17083418183418,309.5881774721864,-18.472267702189992,134.3491676030779,12.746473445214269,112.6651287415335,65.35138017316909,95.92547579364731,-142.6977882035877,pairs_iz_15.0,BLOCK-365,0.0
1288998,27.69604246115074,-55.964215212677374,63259.03441473536,63259.07279643071,30.0,i,i,277.59283744832265,0.0,1,1.2762727281028812,0.8946943038712893,1.2074811874143978,1.0445495360546349,18.89624926939916,2278,5.482143599270049,31.0,2.8319782310223065,22.891747543720005,51.86948982308077,216.10784512270968,64.94438640827566,64.80283105999817,0.0,13.241834307946451,-13.429896930404343,"pair_15, iz, a",lowdust,1910551,68.50050625332041,57.20999361167552,0.0,66.61714800942903,239.0784948922791,309.5886150143481,-18.47215897405913,134.3532482375505,12.745476146745272,109.83487504221333,68.16310709378067,95.92387221227891,-144.89783875052822,pairs_iz_15.0,BLOCK-365,0.0
