metric,absolute,motion
Coadd_m5_proxy,19.983363536135496,19.975880425336115
Delta_depth_vs_phot,-0.47972039008039147,-0.49939641786822975
Max_airmass,1.857417562100671,1.857417562100671
Max_gap_min,1.1704166675917804,1.1704166675917804
Mean_airmass,1.5507471576775849,1.466200093359265
Mean_cloud_ext,0.44464567431263136,0.4727764085322973
Mean_m5,24.00027960991961,23.98060358213177
Mean_slew_s,7.688089742434424,5.46075092983523
Median_airmass,1.6186414056238645,1.5165750888103102
Median_cloud_ext,0.29327392578125,0.3428506851196289
Median_gap_min,0.5040500010363758,0.5040500010363758
Median_m5,24.153978474980967,24.108465785407912
Median_seeing,0.7618641405623864,0.751657508881031
Median_slew_s,4.647214911334015,3.1736065299338967
Min_cloud_ext,-0.22879409790039062,-0.07550048828125
N_visits,928.0,928.0
Night_duration_h,8.225481666682754,8.225481666682754
Open_shutter_frac,0.9401678402197645,0.9401678402197645
Sky_frac_visited,0.0537109375,0.049153645833333336
Total_exposure_h,7.733333333333333,7.733333333333333
Total_photons,51745453.00272825,50119229.163868785
Total_slew_h,1.9818186891608738,1.4076602396908593
fO_area_deg2,2215.73522335748,2027.733446830179
