Time,Max Attenuation,Min Attenuation,Average Attenuation,Night,Cloud_Range
2025-07-05 21:30:00-04:00,3.677587985992432,-2.7177391052246094,-0.0111167775027371,2025-07-05,6.395327091217041
2025-07-05 21:35:00-04:00,1.2885338068008425,-2.707259178161621,-0.0214667133040251,2025-07-05,3.9957929849624634
2025-07-05 21:40:00-04:00,1.8384230136871336,-2.5930864810943604,-0.0121459114678461,2025-07-05,4.431509494781494
2025-07-05 21:45:00-04:00,0.7205744385719299,-2.603706121444702,-0.023192862498433,2025-07-05,3.324280560016632
2025-07-05 21:50:00-04:00,0.1339380890130996,-2.5440549850463867,-0.0237422638440906,2025-07-05,2.6779930740594864
2025-07-05 21:55:00-04:00,0.2466153502464294,-2.499764442443848,-0.0268890722207273,2025-07-05,2.7463797926902775
2025-07-05 22:00:00-04:00,0.8275780081748962,-2.486118793487549,-0.0266066740729085,2025-07-05,3.313696801662445
2025-07-05 22:05:00-04:00,0.1401433944702148,-2.4628052711486816,-0.0259809962151622,2025-07-05,2.6029486656188965
2025-07-05 22:10:00-04:00,0.161827951669693,-2.758443117141724,-0.0246189479632909,2025-07-05,2.920271068811417
2025-07-05 22:15:00-04:00,0.2786283493041992,-2.458998441696167,-0.0240058477079203,2025-07-05,2.737626791000366
2025-07-05 22:45:00-04:00,0.1458876132965088,-2.210637331008911,-0.0221394903679576,2025-07-05,2.35652494430542
2025-07-05 22:50:00-04:00,0.9871349930763244,-2.260606527328491,-0.0209602001916186,2025-07-05,3.2477415204048157
2025-07-05 23:25:00-04:00,0.8385009169578552,-0.5819025039672852,-0.0041612576870221,2025-07-05,1.4204034209251404
2025-07-05 23:30:00-04:00,1.436718463897705,-2.311310052871704,-0.0234447261372589,2025-07-05,3.748028516769409
2025-07-06 00:35:00-04:00,0.4743609726428985,-0.9370396733283995,-0.0077548299141295,2025-07-06,1.411400645971298
2025-07-06 00:40:00-04:00,0.3852993249893188,-2.0084378719329834,-0.0255336506297779,2025-07-06,2.3937371969223022
2025-07-06 01:10:00-04:00,3.2076845169067383,-3.113900661468506,-0.0225113830657729,2025-07-06,6.321585178375244
2025-07-06 01:15:00-04:00,0.460566759109497,-3.0494558811187744,-0.0230823823883064,2025-07-06,3.5100226402282715
2025-07-06 01:20:00-04:00,0.5936727523803711,-3.0732297897338867,-0.0225431190327929,2025-07-06,3.666902542114258
2025-07-06 01:55:00-04:00,7.24373722076416,-2.328737258911133,0.0822208840494426,2025-07-06,9.572474479675293
2025-07-06 02:00:00-04:00,2.984813451766968,-2.3280270099639893,0.0452695412620174,2025-07-06,5.312840461730957
2025-07-06 02:05:00-04:00,2.3027801513671875,-2.1025314331054688,0.0107493032532566,2025-07-06,4.405311584472656
2025-07-06 02:10:00-04:00,0.461970716714859,-1.8426318168640137,-0.0088566386206184,2025-07-06,2.3046025335788727
2025-07-06 02:45:00-04:00,0.3668276965618133,-0.7767215967178345,0.0099218839240084,2025-07-06,1.1435492932796478
2025-07-06 02:50:00-04:00,1.3645087480545044,-1.424210786819458,0.0133661932239934,2025-07-06,2.7887195348739624
2025-07-06 02:55:00-04:00,0.3415476977825165,-0.1520091742277145,-0.0043012879895764,2025-07-06,0.493556872010231
2025-07-06 03:00:00-04:00,0.1646046936511993,-0.2547198832035064,-0.0065180157179102,2025-07-06,0.4193245768547057
2025-07-06 03:05:00-04:00,0.2399140298366546,-0.1929199695587158,-0.0065920963190881,2025-07-06,0.4328339993953704
2025-07-06 03:10:00-04:00,0.2308110296726226,-1.027982473373413,-0.0095960128348888,2025-07-06,1.2587935030460358
2025-07-06 03:15:00-04:00,0.4425624907016754,-1.0511560440063477,-0.0074638941128362,2025-07-06,1.493718534708023
2025-07-06 03:20:00-04:00,0.9712299108505248,-0.6568684577941895,-0.0061839505841615,2025-07-06,1.6280983686447144
2025-07-06 03:25:00-04:00,0.2047449201345443,-0.2914578318595886,-0.00790114826884,2025-07-06,0.4962027519941329
2025-07-06 03:30:00-04:00,0.2128887772560119,-0.3480821847915649,-0.0087057489889544,2025-07-06,0.5609709620475768
2025-07-06 03:35:00-04:00,0.9735336303710938,-0.2183863967657089,-0.0088605100385476,2025-07-06,1.1919200271368027
2025-07-06 03:40:00-04:00,0.1617785394191742,-0.1983752697706222,-0.0110094551618375,2025-07-06,0.3601538091897964
2025-07-06 04:15:00-04:00,0.3082533776760101,-0.1380730867385864,-0.0017896088061579,2025-07-06,0.44632646441459645
2025-07-06 04:20:00-04:00,0.3156259059906006,-0.2167394012212753,-0.0007988902704062,2025-07-06,0.5323653072118759
2025-07-06 04:25:00-04:00,0.246965155005455,-0.0830122753977775,-0.0008627385387664,2025-07-06,0.32997743040323246
2025-07-06 05:00:00-04:00,0.876542329788208,-0.4798245131969452,0.026587401345746,2025-07-06,1.3563668429851532
2025-07-06 05:05:00-04:00,0.2251878231763839,-0.157817393541336,-0.0007694710588564,2025-07-06,0.3830052167177199
2025-07-06 05:10:00-04:00,0.2789060175418854,-0.353685200214386,-0.0023987180375604,2025-07-06,0.6325912177562714
2025-07-06 05:15:00-04:00,0.2279475331306457,-0.1794244796037674,-0.0019052856054487,2025-07-06,0.4073720127344131
2025-07-06 05:20:00-04:00,0.4206342399120331,-0.0819450542330741,-0.0034256644644962,2025-07-06,0.5025792941451072
2025-07-06 05:25:00-04:00,0.2550949454307556,-0.1231083422899246,-0.0043603468936575,2025-07-06,0.37820328772068024
2025-07-06 05:30:00-04:00,0.197000965476036,-0.1387874037027359,-0.0063371773891619,2025-07-06,0.33578836917877186
2025-07-06 05:35:00-04:00,0.4328072071075439,-0.1900393664836883,-0.0070337372400251,2025-07-06,0.6228465735912322
2025-07-06 05:40:00-04:00,0.2119747549295425,-0.1135150864720344,-0.0084596811380826,2025-07-06,0.3254898414015769
2025-07-06 05:45:00-04:00,0.4649184942245483,-0.2544416785240173,-0.0140349968119411,2025-07-06,0.7193601727485656
2025-07-06 05:50:00-04:00,1.7413628101348877,-0.1199172213673591,-0.0183717287638398,2025-07-06,1.8612800315022469
2025-07-06 05:55:00-04:00,4.576358795166016,-0.1259488463401794,-0.0176643452458753,2025-07-06,4.702307641506195
2025-07-06 20:00:00-04:00,0.1262306123971939,-3.0619022846221924,-0.0352812158919276,2025-07-06,3.1881328970193863
2025-07-06 20:05:00-04:00,0.4470329284667969,-3.1170318126678467,-0.0341213107897584,2025-07-06,3.5640647411346436
2025-07-06 20:10:00-04:00,0.1579212844371795,-3.253127098083496,-0.0361514788153981,2025-07-06,3.4110483825206757
2025-07-06 20:15:00-04:00,1.0370490550994873,-3.2451295852661133,-0.0355731522529578,2025-07-06,4.282178640365601
2025-07-06 20:20:00-04:00,1.149056315422058,-3.1705310344696045,-0.0327520627791254,2025-07-06,4.319587349891663
2025-07-06 20:25:00-04:00,1.352777361869812,-3.1141159534454346,-0.0312167881406874,2025-07-06,4.466893315315247
2025-07-06 20:30:00-04:00,0.22539883852005,-3.031048059463501,-0.0299103173004696,2025-07-06,3.256446897983551
2025-07-06 20:35:00-04:00,0.1868900656700134,-2.6949243545532227,-0.0290001795769779,2025-07-06,2.881814420223236
2025-07-06 20:40:00-04:00,0.252754807472229,-1.9730256795883176,-0.0284911897866797,2025-07-06,2.225780487060547
2025-07-06 20:45:00-04:00,0.9249773621559144,-2.014617443084717,-0.0293373773938174,2025-07-06,2.939594805240631
2025-07-06 20:50:00-04:00,0.1311000734567642,-2.238713264465332,-0.0302498772040444,2025-07-06,2.3698133379220963
2025-07-06 20:55:00-04:00,0.6216014623641968,-2.1279304027557373,-0.0302994871051813,2025-07-06,2.749531865119934
2025-07-06 21:00:00-04:00,0.3566886186599731,-2.1745975017547607,-0.0313164124786588,2025-07-06,2.531286120414734
2025-07-06 21:05:00-04:00,0.186240091919899,-2.3506457805633545,-0.030642873103613,2025-07-06,2.5368858724832535
2025-07-06 21:10:00-04:00,0.3664657771587372,-2.662353277206421,-0.0324098367504128,2025-07-06,3.028819054365158
2025-07-06 21:15:00-04:00,0.327763557434082,-2.246735095977783,-0.03135406616834,2025-07-06,2.5744986534118652
2025-07-06 21:20:00-04:00,0.2568401396274566,-2.4160072803497314,-0.0319999241523599,2025-07-06,2.672847419977188
2025-07-06 21:25:00-04:00,0.1542461216449737,-2.45346474647522,-0.0303542288748096,2025-07-06,2.607710868120194
2025-07-06 21:30:00-04:00,0.172515869140625,-2.400350570678711,-0.0310809138124071,2025-07-06,2.572866439819336
2025-07-06 21:35:00-04:00,0.6798372864723206,-2.4300076961517334,-0.0313509352679574,2025-07-06,3.109844982624054
