Time,Max Attenuation,Min Attenuation,Average Attenuation,Night,Cloud_Range,Std Attenuation,Clarity Metric,Night Date,Night ID
2025-07-05 21:30:00-04:00,3.677587985992432,-2.7177391052246094,-0.0111167775027371,2025-07-05,6.395327091217041,2.6211226572852993,2.610005879782562,2025-07-05,2025-07-05
2025-07-05 21:35:00-04:00,1.2885338068008425,-2.707259178161621,-0.0214667133040251,2025-07-05,3.995792984962464,1.663194520114032,1.6417278068100067,2025-07-05,2025-07-05
2025-07-05 21:40:00-04:00,1.8384230136871336,-2.5930864810943604,-0.0121459114678461,2025-07-05,4.431509494781494,1.8173281967716544,1.8051822853038082,2025-07-05,2025-07-05
2025-07-05 21:45:00-04:00,0.7205744385719299,-2.603706121444702,-0.023192862498433,2025-07-05,3.324280560016632,1.4245108212780149,1.4013179587795819,2025-07-05,2025-07-05
2025-07-05 21:50:00-04:00,0.1339380890130996,-2.5440549850463867,-0.0237422638440906,2025-07-05,2.6779930740594864,1.2269422793197853,1.2032000154756948,2025-07-05,2025-07-05
2025-07-05 21:55:00-04:00,0.2466153502464294,-2.499764442443848,-0.0268890722207273,2025-07-05,2.746379792690277,1.2352471291861093,1.208358056965382,2025-07-05,2025-07-05
2025-07-05 22:00:00-04:00,0.8275780081748962,-2.486118793487549,-0.0266066740729085,2025-07-05,3.313696801662445,1.4047308097315774,1.3781241356586689,2025-07-05,2025-07-05
2025-07-05 22:05:00-04:00,0.1401433944702148,-2.4628052711486816,-0.0259809962151622,2025-07-05,2.6029486656188965,1.1898203233137092,1.163839327098547,2025-07-05,2025-07-05
2025-07-05 22:10:00-04:00,0.161827951669693,-2.758443117141724,-0.0246189479632909,2025-07-05,2.920271068811417,1.3348549713027038,1.3102360233394128,2025-07-05,2025-07-05
2025-07-05 22:15:00-04:00,0.2786283493041992,-2.458998441696167,-0.0240058477079203,2025-07-05,2.737626791000366,1.2254421803660072,1.2014363326580868,2025-07-05,2025-07-05
2025-07-05 22:45:00-04:00,0.1458876132965088,-2.210637331008911,-0.0221394903679576,2025-07-05,2.35652494430542,1.0734661263190401,1.0513266359510824,2025-07-05,2025-07-05
2025-07-05 22:50:00-04:00,0.9871349930763244,-2.260606527328491,-0.0209602001916186,2025-07-05,3.247741520404816,1.357288824282887,1.3363286240912684,2025-07-05,2025-07-05
2025-07-05 23:25:00-04:00,0.8385009169578552,-0.5819025039672852,-0.0041612576870221,2025-07-05,1.4204034209251404,0.5832295494730229,0.5790682917860007,2025-07-05,2025-07-05
2025-07-05 23:30:00-04:00,1.436718463897705,-2.311310052871704,-0.0234447261372589,2025-07-05,3.748028516769409,1.5425131750679362,1.5190684489306772,2025-07-05,2025-07-05
2025-07-06 00:35:00-04:00,0.4743609726428985,-0.9370396733283995,-0.0077548299141295,2025-07-06,1.411400645971298,0.5857623475933723,0.5780075176792429,2025-07-06,2025-07-05
2025-07-06 00:40:00-04:00,0.3852993249893188,-2.0084378719329834,-0.0255336506297779,2025-07-06,2.3937371969223022,1.0451300106604258,1.019596360030648,2025-07-06,2025-07-05
