Time,Max Attenuation,Min Attenuation,Average Attenuation
2025-07-05 21:30:00-04:00,3.6775879859924316,-2.7177391052246094,-0.011116777502737143
2025-07-05 21:35:00-04:00,1.2885338068008423,-2.707259178161621,-0.021466713304025133
2025-07-05 21:40:00-04:00,1.8384230136871338,-2.5930864810943604,-0.012145911467846108
2025-07-05 21:45:00-04:00,0.7205744385719299,-2.603706121444702,-0.023192862498433
2025-07-05 21:50:00-04:00,0.13393808901309967,-2.5440549850463867,-0.02374226384409063
2025-07-05 21:55:00-04:00,0.24661535024642944,-2.4997644424438477,-0.026889072220727395
2025-07-05 22:00:00-04:00,0.8275780081748962,-2.486118793487549,-0.026606674072908572
2025-07-05 22:05:00-04:00,0.14014339447021484,-2.4628052711486816,-0.025980996215162297
2025-07-05 22:10:00-04:00,0.161827951669693,-2.7584431171417236,-0.02461894796329091
2025-07-05 22:15:00-04:00,0.2786283493041992,-2.458998441696167,-0.024005847707920358
2025-07-05 22:45:00-04:00,0.1458876132965088,-2.210637331008911,-0.02213949036795767
2025-07-05 22:50:00-04:00,0.9871349930763245,-2.260606527328491,-0.020960200191618646
2025-07-05 23:25:00-04:00,0.8385009169578552,-0.5819025039672852,-0.00416125768702217
2025-07-05 23:30:00-04:00,1.436718463897705,-2.311310052871704,-0.023444726137258984
2025-07-06 00:35:00-04:00,0.47436097264289856,-0.9370396733283997,-0.0077548299141295155
2025-07-06 00:40:00-04:00,0.38529932498931885,-2.0084378719329834,-0.025533650629777964
2025-07-06 01:10:00-04:00,3.2076845169067383,-3.113900661468506,-0.022511383065772977
2025-07-06 01:15:00-04:00,0.46056675910949707,-3.0494558811187744,-0.023082382388306427
2025-07-06 01:20:00-04:00,0.5936727523803711,-3.0732297897338867,-0.022543119032792925
2025-07-06 01:55:00-04:00,7.24373722076416,-2.328737258911133,0.08222088404944267
2025-07-06 02:00:00-04:00,2.9848134517669678,-2.3280270099639893,0.04526954126201741
2025-07-06 02:05:00-04:00,2.3027801513671875,-2.1025314331054688,0.010749303253256673
2025-07-06 02:10:00-04:00,0.461970716714859,-1.8426318168640137,-0.008856638620618447
2025-07-06 02:45:00-04:00,0.36682769656181335,-0.7767215967178345,0.00992188392400849
2025-07-06 02:50:00-04:00,1.3645087480545044,-1.424210786819458,0.013366193223993433
2025-07-06 02:55:00-04:00,0.3415476977825165,-0.15200917422771454,-0.004301287989576471
2025-07-06 03:00:00-04:00,0.16460469365119934,-0.25471988320350647,-0.006518015717910282
2025-07-06 03:05:00-04:00,0.23991402983665466,-0.19291996955871582,-0.006592096319088116
2025-07-06 03:10:00-04:00,0.23081102967262268,-1.027982473373413,-0.009596012834888885
2025-07-06 03:15:00-04:00,0.4425624907016754,-1.0511560440063477,-0.00746389411283624
2025-07-06 03:20:00-04:00,0.9712299108505249,-0.6568684577941895,-0.0061839505841615764
2025-07-06 03:25:00-04:00,0.20474492013454437,-0.2914578318595886,-0.007901148268840063
2025-07-06 03:30:00-04:00,0.21288877725601196,-0.34808218479156494,-0.008705748988954407
