Time,Max Attenuation,Min Attenuation,Average Attenuation
2025-07-05 21:30:00-04:00,1.3775238990783691,-1.524588942527771,-0.013157735670861212
2025-07-05 21:35:00-04:00,0.8921602368354797,-1.4976577758789062,-0.022111922322186804
2025-07-05 21:40:00-04:00,1.1775919198989868,-1.4953103065490723,-0.012665294207619502
2025-07-05 21:45:00-04:00,0.19577288627624512,-1.410515308380127,-0.023140020498741184
2025-07-05 21:50:00-04:00,0.08207854628562927,-1.4353071451187134,-0.02379736446063558
2025-07-05 21:55:00-04:00,0.05855947360396385,-1.435002326965332,-0.02678224884954238
2025-07-05 22:00:00-04:00,0.40000590682029724,-1.3490304946899414,-0.02677047756302558
2025-07-05 22:05:00-04:00,0.040611106902360916,-1.4312148094177246,-0.026395219839876787
2025-07-05 22:10:00-04:00,0.04356566071510315,-1.3759127855300903,-0.024902905988538514
2025-07-05 22:15:00-04:00,0.07469716668128967,-1.3295637369155884,-0.024454945737214122
2025-07-05 22:45:00-04:00,0.05999009683728218,-1.303871989250183,-0.022338076445791027
2025-07-05 22:50:00-04:00,0.3115762174129486,-1.3211383819580078,-0.02117145754359885
2025-07-05 23:25:00-04:00,0.1604325920343399,-0.20641827583312988,-0.00396040173904126
2025-07-05 23:30:00-04:00,0.36266574263572693,-1.6062761545181274,-0.023267949564562778
2025-07-06 00:35:00-04:00,0.3603450357913971,-0.5658779740333557,-0.007243031313757547
2025-07-06 00:40:00-04:00,0.09459445625543594,-1.6455119848251343,-0.025485850022284044
2025-07-06 01:10:00-04:00,0.1046496108174324,-2.1523849964141846,-0.022964152753010284
2025-07-06 01:15:00-04:00,0.1573168784379959,-2.1802380084991455,-0.02277807523627756
2025-07-06 01:20:00-04:00,0.20223259925842285,-2.204709768295288,-0.022822963523645667
2025-07-06 01:55:00-04:00,1.7605329751968384,-1.5034408569335938,0.07671673094253949
2025-07-06 02:00:00-04:00,1.8493237495422363,-1.4885601997375488,0.03729416721901009
2025-07-06 02:05:00-04:00,1.4984716176986694,-1.8510719537734985,0.005339117083892885
2025-07-06 02:10:00-04:00,0.2301522046327591,-0.8671371340751648,-0.008363472319170073
2025-07-06 02:45:00-04:00,0.20418782532215118,-0.2672569751739502,0.011208921803235865
2025-07-06 02:50:00-04:00,0.7291026711463928,-0.22101597487926483,0.013551561276475785
2025-07-06 02:55:00-04:00,0.20776355266571045,-0.07357826083898544,-0.003991365879844472
2025-07-06 03:00:00-04:00,0.043170515447854996,-0.12329376488924026,-0.0061159790102472645
2025-07-06 03:05:00-04:00,0.04259538650512695,-0.07542156428098679,-0.006211150656508537
2025-07-06 03:10:00-04:00,0.0544089674949646,-0.36802980303764343,-0.009065081180559301
2025-07-06 03:15:00-04:00,0.12004804611206055,-0.38234952092170715,-0.007322608911156474
2025-07-06 03:20:00-04:00,0.5035628080368042,-0.2369333654642105,-0.0060200086920576875
2025-07-06 03:25:00-04:00,0.04814523458480835,-0.1126578152179718,-0.00758549740908184
2025-07-06 03:30:00-04:00,0.08801337331533432,-0.07051782310009003,-0.00829965463418857
2025-07-06 03:35:00-04:00,0.10930626839399338,-0.06276664137840271,-0.008798997864661158
2025-07-06 03:40:00-04:00,0.026578709483146667,-0.06345179677009583,-0.0105612513418281
2025-07-06 04:15:00-04:00,0.1036154106259346,-0.055180344730615616,-0.0017292633936681608
2025-07-06 04:20:00-04:00,0.07046527415513992,-0.05351491644978523,-0.000740188007219613
2025-07-06 04:25:00-04:00,0.06664849072694778,-0.04605833813548088,-0.0009431742041492181
2025-07-06 05:00:00-04:00,0.25143924355506897,-0.17991764843463898,0.02768665629929223
2025-07-06 05:05:00-04:00,0.07900842279195786,-0.0614834763109684,-0.0010756379875239979
2025-07-06 05:10:00-04:00,0.05107998475432396,-0.0799902006983757,-0.002456675168070297
2025-07-06 05:15:00-04:00,0.05811724439263344,-0.04131177440285683,-0.002123654929041885
2025-07-06 05:20:00-04:00,0.04127294197678566,-0.03238236904144287,-0.0036848783672652433
2025-07-06 05:25:00-04:00,0.08086804300546646,-0.038375888019800186,-0.004450364038176609
2025-07-06 05:30:00-04:00,0.06964501738548279,-0.0439237542450428,-0.006344040213123849
2025-07-06 05:35:00-04:00,0.20821517705917358,-0.09830013662576675,-0.006980184441130956
2025-07-06 05:40:00-04:00,0.058869410306215286,-0.05362662672996521,-0.00878375974387862
2025-07-06 05:45:00-04:00,0.04324285313487053,-0.10202061384916306,-0.014037786950134398
2025-07-06 05:50:00-04:00,0.6540618538856506,-0.06313506513834,-0.019074055206123323
2025-07-06 05:55:00-04:00,2.6929376125335693,-0.08580393344163895,-0.018440860907904835
2025-07-06 20:00:00-04:00,0.026377663016319275,-2.0229082107543945,-0.03584852439969659
2025-07-06 20:05:00-04:00,0.1551835685968399,-2.029613494873047,-0.035041752531562005
2025-07-06 20:10:00-04:00,0.027457335963845253,-2.0214450359344482,-0.036520062368134217
2025-07-06 20:15:00-04:00,0.09349879622459412,-2.2991626262664795,-0.0362204768048053
2025-07-06 20:20:00-04:00,0.05170371010899544,-2.1800320148468018,-0.03236299924356064
2025-07-06 20:25:00-04:00,0.08188170194625854,-2.1720030307769775,-0.03169965126841204
2025-07-06 20:30:00-04:00,0.11647709459066391,-2.009079694747925,-0.030600813033883557
2025-07-06 20:35:00-04:00,0.02991943061351776,-2.1242613792419434,-0.02865710024202036
2025-07-06 20:40:00-04:00,0.06041954085230827,-1.4909254312515259,-0.02701592535441233
2025-07-06 20:45:00-04:00,0.032261379063129425,-1.5119794607162476,-0.028936673668327143
2025-07-06 20:50:00-04:00,0.06323407590389252,-2.101408004760742,-0.030283630778157638
2025-07-06 20:55:00-04:00,0.03469341620802879,-1.8232393264770508,-0.030967841998217966
2025-07-06 21:00:00-04:00,0.05242717266082764,-2.109691858291626,-0.03162205493846662
2025-07-06 21:05:00-04:00,0.06621097028255463,-2.1197235584259033,-0.030688439709488757
2025-07-06 21:10:00-04:00,0.07920580357313156,-2.399447441101074,-0.032667851089335335
2025-07-06 21:15:00-04:00,0.06285756081342697,-1.9888609647750854,-0.03146708659855377
2025-07-06 21:20:00-04:00,0.0963960811495781,-2.353522300720215,-0.03235207180369281
2025-07-06 21:25:00-04:00,0.048947494477033615,-2.357975482940674,-0.030667104264199205
2025-07-06 21:30:00-04:00,0.050924211740493774,-2.3806521892547607,-0.031255199275410955
2025-07-06 21:35:00-04:00,0.05068126693367958,-2.4175100326538086,-0.03216518973135862
2025-07-06 21:40:00-04:00,0.05362753942608833,-2.3939287662506104,-0.03304432322449257
2025-07-06 21:45:00-04:00,0.05642281845211983,-2.423882246017456,-0.0330020910050909
2025-07-06 21:50:00-04:00,0.06895065307617188,-2.3111817836761475,-0.033617014263423534
2025-07-06 21:55:00-04:00,0.051921945065259933,-2.1833393573760986,-0.03384861699220826
2025-07-06 22:00:00-04:00,0.06624588370323181,-2.2367429733276367,-0.03602516499911682
2025-07-06 22:05:00-04:00,0.09814268350601196,-2.0429160594940186,-0.03412934077482699
2025-07-06 22:10:00-04:00,0.06089064106345177,-1.9941445589065552,-0.03377278671099476
2025-07-06 22:15:00-04:00,0.06602343171834946,-1.5772056579589844,-0.03321757368739531
2025-07-06 22:20:00-04:00,0.07903534919023514,-1.6042900085449219,-0.03007841635368921
2025-07-06 22:25:00-04:00,0.07263486832380295,-1.5840867757797241,-0.03016215891470729
2025-07-06 22:30:00-04:00,0.06507494300603867,-1.8018814325332642,-0.030074010955063412
2025-07-06 22:35:00-04:00,0.08323513716459274,-1.5102276802062988,-0.02861903514609575
2025-07-06 22:40:00-04:00,0.07575536519289017,-1.4849580526351929,-0.030202726711986826
2025-07-06 22:45:00-04:00,0.07566194236278534,-1.5610666275024414,-0.03119113138823633
2025-07-06 22:50:00-04:00,0.18979734182357788,-1.545594573020935,-0.03267384810170349
2025-07-06 22:55:00-04:00,0.06945917010307312,-1.6055984497070312,-0.033330256980771085
2025-07-06 23:00:00-04:00,0.056266069412231445,-1.3982285261154175,-0.03384635458124472
2025-07-06 23:05:00-04:00,0.06224463880062103,-1.400272011756897,-0.03294733766279432
2025-07-06 23:10:00-04:00,1.9287551641464233,-1.5407205820083618,-0.03098893640116535
2025-07-06 23:15:00-04:00,1.1987603902816772,-1.5340023040771484,-0.03176782884679504
2025-07-06 23:20:00-04:00,0.05057212710380554,-1.6225662231445312,-0.0331131764909922
2025-07-06 23:25:00-04:00,0.03783068805932999,-1.5975452661514282,-0.03401861147686412
2025-07-06 23:30:00-04:00,0.05342550948262215,-1.7627153396606445,-0.036523302829932595
2025-07-06 23:35:00-04:00,0.029978753998875618,-1.6048083305358887,-0.03520342564902645
2025-07-06 23:40:00-04:00,0.03964845836162567,-1.77911376953125,-0.03518510357869458
2025-07-06 23:45:00-04:00,0.19558310508728027,-1.6528339385986328,-0.033484110096013285
2025-07-06 23:50:00-04:00,0.06348475813865662,-1.6040655374526978,-0.03280098137616049
2025-07-06 23:55:00-04:00,0.2643052339553833,-1.5250710248947144,-0.031308186620849256
2025-07-07 00:00:00-04:00,0.05505425110459328,-1.530402660369873,-0.03328861021327464
2025-07-07 00:05:00-04:00,0.03450285270810127,-1.6288374662399292,-0.03388168920028587
2025-07-07 00:10:00-04:00,0.11848653107881546,-1.6667532920837402,-0.0335428318670946
2025-07-07 00:15:00-04:00,0.10365907102823257,-1.557181715965271,-0.03503229883715948
2025-07-07 00:20:00-04:00,0.4301120340824127,-1.484441876411438,-0.035785701676846485
2025-07-07 00:25:00-04:00,0.021962640807032585,-1.456178069114685,-0.03540104723677264
2025-07-07 00:30:00-04:00,0.7622668743133545,-1.5523524284362793,-0.031991574328658526
2025-07-07 00:35:00-04:00,0.2528073191642761,-1.4472990036010742,-0.036345689737795596
2025-07-07 00:40:00-04:00,0.1303868144750595,-1.4515800476074219,-0.03979353464151876
2025-07-07 00:45:00-04:00,0.02144157886505127,-1.3962818384170532,-0.037458146868201356
2025-07-07 00:50:00-04:00,0.07938700169324875,-1.630205750465393,-0.03718563639063754
2025-07-07 00:55:00-04:00,0.09201779216527939,-1.5231527090072632,-0.035251372840145026
2025-07-07 01:00:00-04:00,0.03970436379313469,-1.5688527822494507,-0.03575955224771498
2025-07-07 01:05:00-04:00,0.06390112638473511,-1.6728941202163696,-0.035376188617542534
2025-07-07 01:10:00-04:00,0.057096198201179504,-1.4204049110412598,-0.03617703444950244
2025-07-07 01:15:00-04:00,0.06437016278505325,-1.5142236948013306,-0.03472207070336225
2025-07-07 01:20:00-04:00,0.08922577649354935,-1.5423851013183594,-0.03445345160734255
2025-07-07 01:25:00-04:00,0.027216503396630287,-1.3971160650253296,-0.03456906197703904
2025-07-07 01:30:00-04:00,0.037922393530607224,-1.4098838567733765,-0.03872704009260116
2025-07-07 01:35:00-04:00,0.0262333694845438,-1.4336618185043335,-0.037425949303765915
2025-07-07 01:40:00-04:00,0.08698660135269165,-1.4274687767028809,-0.03799364810645858
2025-07-07 01:45:00-04:00,1.0211167335510254,-1.4467955827713013,-0.03771954305030032
2025-07-07 01:50:00-04:00,0.025420963764190674,-1.4690362215042114,-0.03959746291570661
