band,ra,dec,ext_consdb,ext_dream,sig_dream,pixel_flag,has_flags,is_r0,clouds_cleaned,sigma_cleaned,visit_time,frame_time,dt_sec
i,326.97914932317656,-17.38949417449278,0.18883885162415837,0.02524566650390625,0.0051161302253603935,0,False,True,0.02524566650390625,0.0051161302253603935,2025-10-25 00:51:30.867000+00:00,2025-10-25 00:51:45.193000+00:00,14.326
i,326.97897124150813,-17.389493915862897,0.18182717791644976,0.024768829345703125,0.005349256563931704,0,False,True,0.024768829345703125,0.005349256563931704,2025-10-25 00:52:07.015000+00:00,2025-10-25 00:52:15.491000+00:00,8.475999999999999
i,327.44184568510025,-17.39014146100068,0.16581529031204312,0.02446746826171875,0.005161881912499666,0,False,True,0.02446746826171875,0.005161881912499666,2025-10-25 00:53:21.512000+00:00,2025-10-25 00:53:15.835000+00:00,5.677
i,327.4418234112035,-17.390140664093384,0.16289488822862808,0.025356292724609375,0.005341550335288048,0,False,True,0.025356292724609375,0.005341550335288048,2025-10-25 00:53:57.640000+00:00,2025-10-25 00:53:56.024000+00:00,1.616
i,328.0897271707211,-17.39111771502664,0.16675175445618962,0.0184326171875,0.005521968938410282,0,False,True,0.0184326171875,0.005521968938410282,2025-10-25 00:55:56.558000+00:00,2025-10-25 00:55:56.898000+00:00,0.34
i,328.08964928826657,-17.391034554712615,0.15046271057774518,0.015636444091796875,0.0061460877768695354,0,False,True,0.015636444091796875,0.0061460877768695354,2025-10-25 00:56:32.714000+00:00,2025-10-25 00:56:37.093000+00:00,4.379
i,329.5375329895921,-17.392983389202687,0.14883013463791883,0.04046630859375,0.009198562242090702,0,False,True,0.04046630859375,0.009198562242090702,2025-10-25 01:02:18.931000+00:00,2025-10-25 01:02:20.417000+00:00,1.486
i,330.0244032049225,-17.39362155944341,0.12083050803480688,0.017635345458984375,0.004552127327769995,0,False,True,0.017635345458984375,0.004552127327769995,2025-10-25 01:03:39.270000+00:00,2025-10-25 01:03:31.051000+00:00,8.219
i,330.0243043191283,-17.393622400548615,0.1268460431030327,0.028961181640625,0.004958040546625853,0,False,True,0.028961181640625,0.004958040546625853,2025-10-25 01:04:15.397000+00:00,2025-10-25 01:04:01.209000+00:00,14.188
i,331.8110410376145,-17.395888560988357,0.08659345035831478,0.001323699951171875,0.0040481118485331535,0,False,True,0.001323699951171875,0.0040481118485331535,2025-10-25 01:10:46.704000+00:00,2025-10-25 01:10:54.667000+00:00,7.963
i,331.8107131403624,-17.3958859587819,0.14936033352327982,0.008358001708984375,0.005189422983676195,0,False,True,0.008358001708984375,0.005189422983676195,2025-10-25 01:11:22.844000+00:00,2025-10-25 01:11:24.878000+00:00,2.034
i,332.2944306294414,-17.396481469696596,0.11015874271671322,0.0047969818115234375,0.0046589612029492855,0,False,True,0.0047969818115234375,0.0046589612029492855,2025-10-25 01:12:42.320000+00:00,2025-10-25 01:12:25.231000+00:00,17.089
i,332.29428823963156,-17.396562138892577,0.13791817549577345,0.01502227783203125,0.0052366480231285095,0,False,True,0.01502227783203125,0.0052366480231285095,2025-10-25 01:13:18.494000+00:00,2025-10-25 01:13:05.428000+00:00,13.066
z,331.9025736378179,-17.35849836393576,0.05157484699891768,0.008104324340820312,0.004155134782195091,0,False,True,0.008104324340820312,0.004155134782195091,2025-10-25 01:29:23.620000+00:00,2025-10-25 01:29:33.558000+00:00,9.938
z,325.0565547462683,-22.668908249004385,0.05954948353832279,0.021457672119140625,0.006135708652436733,0,False,True,0.021457672119140625,0.006135708652436733,2025-10-25 01:32:14.839000+00:00,2025-10-25 01:32:05.989000+00:00,8.85
z,326.35633389589975,-25.46036219129418,0.07052403376129845,0.03160285949707031,0.005266400054097176,0,False,True,0.03160285949707031,0.005266400054097176,2025-10-25 01:32:58.467000+00:00,2025-10-25 01:32:46.159000+00:00,12.308
