band,ra,dec,ext_consdb,err_consdb,ext_dream,sig_dream,visit_time,dt_sec
i,341.19736726200307,-29.873374585463537,0.31359364638046117,,0.05015373229980469,0.014048684388399124,2025-10-25 00:29:15.961000+00:00,7.714
i,323.9960938559192,-17.3852028699116,0.24494338836156615,,0.03560066223144531,0.007202361710369587,2025-10-25 00:39:37.470000+00:00,9.079
i,323.9962218295949,-17.385203734046076,0.26903689706836076,,0.03522682189941406,0.007383574731647968,2025-10-25 00:40:13.589000+00:00,14.935
i,324.56357384528235,-17.385972114529,0.2014444218623801,,0.04590797424316406,0.006785267498344183,2025-10-25 00:41:53.200000+00:00,13.902
i,324.56345821673466,-17.386055176840298,0.33776428467154673,,0.03677558898925781,0.008058075793087482,2025-10-25 00:42:29.360000+00:00,10.484
i,325.04420340352885,-17.386687830204988,0.21056341164129577,,0.052211761474609375,0.006858025677502155,2025-10-25 00:43:48.128000+00:00,2.245
i,325.0441067109567,-17.38677373387862,0.22103654376117632,,0.047473907470703125,0.006832181476056576,2025-10-25 00:44:24.221000+00:00,3.613
i,325.52568711700735,-17.38739834812882,0.13018592097506954,,0.03378105163574219,0.007969758473336697,2025-10-25 00:45:43.251000+00:00,7.995
i,325.5257461860767,-17.38739640937755,0.14251625582782879,,0.0411376953125,0.006785031873732805,2025-10-25 00:46:20.092000+00:00,2.7640000000000002
i,326.0129173087818,-17.388109971704147,0.1919573754457211,,0.00359344482421875,0.006630193907767534,2025-10-25 00:47:39.773000+00:00,6.5120000000000005
i,326.01289573057284,-17.38811123388453,0.17692912424121232,,-0.0055141448974609375,0.008344115689396858,2025-10-25 00:48:15.859000+00:00,12.37
i,326.49483542616815,-17.388889805815282,0.18602173292114443,,-0.008733749389648438,0.006850880105048418,2025-10-25 00:49:35.076000+00:00,0.705
i,326.495012868455,-17.38880695747754,0.17564536412146836,,0.002166748046875,0.007113614585250616,2025-10-25 00:50:11.225000+00:00,6.537
i,326.97914932317656,-17.38949417449278,0.18883885162415837,,0.009115219116210938,0.006779942195862532,2025-10-25 00:51:30.867000+00:00,14.395
i,326.97897124150813,-17.389493915862897,0.18182717791644976,,0.0020294189453125,0.006235679145902395,2025-10-25 00:52:07.015000+00:00,8.549
i,327.44184568510025,-17.39014146100068,0.16581529031204312,,0.014957427978515625,0.006409310270100832,2025-10-25 00:53:21.512000+00:00,5.608
i,327.4418234112035,-17.390140664093384,0.16289488822862808,,0.009616851806640625,0.005555268377065659,2025-10-25 00:53:57.640000+00:00,1.538
i,328.08964928826657,-17.391034554712615,0.15046271057774518,,-0.0057506561279296875,0.006075016222894192,2025-10-25 00:56:32.714000+00:00,4.453
i,328.59421426196775,-17.391725872797842,0.13365341440810496,,-0.006130218505859375,0.021149838343262672,2025-10-25 00:58:33.258000+00:00,4.6850000000000005
i,330.0244032049225,-17.39362155944341,0.12083050803480688,,0.013805389404296875,0.007428090553730726,2025-10-25 01:03:39.270000+00:00,8.15
