metric,absolute,motion,scheduler
Coadd_m5_proxy,18.88089731033864,18.879713391664875,17.820560277762333
Delta_depth_vs_phot,-1.3795541516112735,-1.4121624265834782,-3.881616220115351
Max_airmass,1.857417562100671,1.857417562100671,1.7743064685631367
Max_gap_min,43.04015000117943,43.04015000117943,310.15025000902824
Mean_airmass,1.4652496974347335,1.460896473396294,1.4444134567117746
Mean_cloud_ext,1.353029181867804,1.3860727792438479,3.5053546935360447
Mean_m5,23.100445848388727,23.067837573416522,20.59838377988465
Mean_slew_s,8.685815321886308,7.7929583854717706,3.3311808751533705
Median_airmass,1.469693845669907,1.4730919862656233,1.4261147198448105
Median_cloud_ext,1.6545820236206055,1.6545820236206055,3.7331933975219727
Median_gap_min,0.504183336161077,0.504183336161077,0.5041333381086588
Median_m5,22.803116854967506,22.803116854967506,20.37116790755899
Median_seeing,0.7469693845669907,0.7473091986265623,1.1509169432300226
Median_slew_s,5.632737259430691,4.5495393546163445,2.768892481011154
Min_cloud_ext,-0.4712505340576172,-0.2828330993652344,0.12671025594075522
N_visits,754.0,754.0,70.0
Night_duration_h,10.316981388896238,10.316981388896238,9.032937222335022
Open_shutter_frac,0.6090282706233462,0.6090282706233462,0.06457847751791157
Sky_frac_visited,0.047200520833333336,0.048909505208333336,0.004069010416666667
Total_exposure_h,6.283333333333333,6.283333333333333,0.5833333333333334
Total_photons,24973429.971174013,23424061.070598762,387815.21585132426
Total_slew_h,1.819195764639521,1.6321918396238098,0.06477296146131553
fO_area_deg2,1947.161256889907,2017.661923087645,167.85872904223336
