metric,absolute,motion,scheduler
Coadd_m5_proxy,19.23732821933407,19.234642867896618,16.516554364754803
Delta_depth_vs_phot,-0.5889839941337165,-0.627064949741488,-1.9021574478239032
Max_airmass,1.857417562100671,1.8275666882497066,1.8431125401860056
Max_gap_min,86.5766833384987,86.5766833384987,147.33778333989903
Mean_airmass,1.5416458488906022,1.5413403768297704,1.2929881333524509
Mean_cloud_ext,0.5548194092446571,0.5929309120585096,1.0562105366088168
Mean_m5,23.891016005866284,23.852935050258512,22.577842552176097
Mean_slew_s,10.822414595663892,5.378001723362804,3.244729151149181
Median_airmass,1.57797338380595,1.6102120313206476,1.2368109730374535
Median_cloud_ext,-0.0265350341796875,0.04567718505859375,0.035669565200805664
Median_gap_min,0.5033916654065251,0.5033916654065251,0.5035000015050173
Median_m5,24.45832266841563,24.394735110870084,23.791141160118784
Median_seeing,0.7577973383805949,0.7610212031320647,1.0318118237248535
Median_slew_s,8.428571428571427,2.3384732421681838,2.805615693904401
Min_cloud_ext,-0.4555988311767578,-0.384857177734375,-0.013971328735351562
N_visits,977.0,977.0,308.0
Night_duration_h,10.628003055579029,10.628003055579029,9.013658055569977
Open_shutter_frac,0.7660579907710924,0.7660579907710924,0.2847530548466185
Sky_frac_visited,0.05126953125,0.042073567708333336,0.013753255208333334
Total_exposure_h,8.141666666666667,8.141666666666667,2.566666666666667
Total_photons,58156483.56076303,55557558.444029234,15772186.52867981
Total_slew_h,2.937083072212117,1.4595299121459608,0.27760460515387436
fO_area_deg2,2115.01998593214,1735.659258296693,567.3625041627488
