alt_deg,az_deg,value
0.4342616917118818,264.94769357065223,3.2092576026916504
1.5497847213707274,265.17115423132725,3.0932648181915283
2.124949048555422,265.3947622400092,3.3684070110321045
2.555226379190998,265.6185109243881,3.3684070110321045
2.905689260410327,265.84239358659465,3.3684070110321045
3.202629595249533,266.06640350437186,3.3684070110321045
3.4598395550179646,266.29053393225763,3.303734064102173
3.685632308112318,266.5147781027789,3.303734064102173
3.885476137633475,266.73912922765425,3.303734064102173
4.063190239153741,266.9635804990074,3.303734064102173
4.221560038334999,267.1881250905885,3.303734064102173
4.362683459366409,267.41275615900486,3.303734064102173
4.488179353117445,267.63746684495834,2.965312957763672
4.599319696620228,267.8622502744911,2.965312957763672
4.697117000605132,268.0870995602376,2.965312957763672
4.782384056782291,268.31200780268284,2.965312957763672
4.855775872909092,268.53696809142565,2.965312957763672
4.917819710717637,268.76197350644827,2.965312957763672
4.968936910205002,268.9870171193892,2.965312957763672
5.009458861971254,269.21209199482007,2.965312957763672
5.039638675419724,269.43719119152667,2.965312957763672
5.059659570618479,269.66230776379143,2.965312957763672
5.069640676267923,269.88743476267865,3.2976574897766113
5.069640676267923,270.11256523732135,3.2976574897766113
5.059659570618479,270.33769223620857,2.64949631690979
5.039638675419724,270.5628088084733,2.64949631690979
5.009458861971254,270.7879080051799,2.64949631690979
4.968936910205002,271.0129828806108,2.64949631690979
4.917819710717637,271.23802649355173,2.64949631690979
4.8557758729091205,271.46303190857435,2.64949631690979
4.782384056782291,271.68799219731716,2.64949631690979
4.697117000605132,271.9129004397623,2.64949631690979
4.599319696620228,272.1377497255089,2.64949631690979
4.488179353117445,272.36253315504166,2.64949631690979
4.362683459366409,272.58724384099514,3.515698194503784
4.221560038334999,272.8118749094114,3.515698194503784
4.063190239153741,273.03641950099257,3.515698194503784
3.885476137633475,273.2608707723457,3.515698194503784
3.685632308112318,273.4852218972211,3.515698194503784
3.4598395550179646,273.7094660677423,3.515698194503784
1.1380173944052956,262.91671400024745,3.4337847232818604
2.101128604629693,263.1394024225954,3.988006830215454
2.7268386014800825,263.3622993078017,3.988006830215454
3.218326109281307,263.5853981926603,3.224754571914673
3.630494037521558,263.8086925777453,3.224754571914673
3.987990656580294,264.032175928482,3.224754571914673
4.304440142271474,264.2558416762328,3.224754571914673
4.588325790182424,264.47968321939896,3.224754571914673
4.845358745405548,264.70369392453625,3.1167256832122803
5.079602374453287,264.92786712748546,3.1167256832122803
5.294069142470406,265.15219613451643,3.1167256832122803
5.491064423781381,265.3766742234852,3.1167256832122803
5.672397309344518,265.6012946450045,3.1167256832122803
5.839516414679409,265.8260506236257,3.1167256832122803
5.9936009529914855,266.05093535903353,3.164214849472046
6.135623870442899,266.27594202725174,3.164214849472046
6.26639685083299,266.501063781859,3.164214849472046
6.386603164178425,266.726293755216,3.164214849472046
6.496822132476581,266.95162505970166,3.164214849472046
6.597547670809291,267.17705078895887,3.164214849472046
6.689202548890506,267.40256401914826,3.164214849472046
6.772149500237674,267.6281578102107,3.164214849472046
6.846699967367172,267.85382520713745,2.3062922954559326
6.913121044507108,268.07955924124576,2.3062922954559326
6.97164102403687,268.30535293146283,2.3062922954559326
7.022453844479216,268.53119928561415,2.3062922954559326
7.065722660795672,268.75709130171737,2.3062922954559326
7.101582701933779,268.98302196928086,2.3062922954559326
7.130143539429071,269.2089842706058,2.3062922954559326
7.151490859935976,269.4349711820925,2.3062922954559326
7.165687810802481,269.6609756755485,2.3062922954559326
7.172775969074223,269.88699071949935,2.3062922954559326
7.172775969074223,270.11300928050065,3.0102641582489014
7.165687810802481,270.33902432445143,3.0102641582489014
7.151490859935976,270.5650288179075,3.0102641582489014
7.130143539429071,270.7910157293942,3.0102641582489014
7.101582701933779,271.01697803071914,3.0102641582489014
7.065722660795672,271.24290869828263,3.0102641582489014
7.022453844479244,271.4688007143858,3.0102641582489014
6.97164102403687,271.69464706853717,3.0102641582489014
6.913121044507108,271.92044075875424,3.0102641582489014
6.846699967367172,272.14617479286255,3.0102641582489014
6.772149500237674,272.3718421897892,3.2976574897766113
6.689202548890506,272.59743598085174,3.2976574897766113
6.597547670809291,272.82294921104113,3.2976574897766113
6.496822132476581,273.0483749402983,3.2976574897766113
6.386603164178425,273.273706244784,3.2976574897766113
6.26639685083299,273.498936218141,3.2976574897766113
6.135623870442899,273.72405797274826,3.2976574897766113
5.993600952991514,273.9490646409664,3.2976574897766113
1.4491264081874107,261.330584531196,4.506551742553711
2.4341247535313215,261.55247275209155,3.4812052249908447
3.106792549912484,261.7746165038875,3.4812052249908447
3.6443563894782187,261.9970095382742,3.4812052249908447
4.1002762828714765,262.2196455628672,3.4812052249908447
4.49941588934675,262.44251824217446,4.747408390045166
4.8557758729091205,262.6656211985833,4.747408390045166
5.178176481624959,262.8889480133645,4.747408390045166
5.472604874283093,263.1124922276948,4.747408390045166
5.743347978040205,263.3362473436969,3.049867630004883
5.9936009529914855,263.56020682549683,3.049867630004883
6.225820752968232,263.7843641002973,3.049867630004883
6.441944391234614,264.0087125594686,3.049867630004883
6.643530328250478,264.2332455596545,3.049867630004883
6.831853724579432,264.45795642389396,3.049867630004883
7.007972740130455,264.68283844275794,2.1739189624786377
7.172775969074252,264.90788487550105,2.1739189624786377
7.327017186642436,265.1330889512268,2.1739189624786377
7.471341324879575,265.358443870067,2.1739189624786377
7.6063042387054765,265.58394280437415,2.1739189624786377
7.73238798236676,265.8095788999261,2.1739189624786377
7.850012778777142,266.0353452771439,2.1739189624786377
7.959546511729016,266.26123503232003,2.1739189624786377
8.061312334407518,266.4872412388587,3.455009698867798
8.155594825595145,266.71335694852604,3.455009698867798
8.242645011859537,266.9395751927106,3.455009698867798
8.322684493736205,267.1658889836935,3.455009698867798
8.395908856036797,267.39229131592657,3.455009698867798
8.462490500082254,267.6187751673201,3.455009698867798
8.522581004280028,267.84533350053687,3.455009698867798
8.576313095912909,268.0719592642946,3.455009698867798
8.623802299107894,268.2986453946739,3.455009698867798
8.66514831019471,268.52538481643245,1.987129807472229
8.7004361409533,268.7521704443251,1.987129807472229
8.729737061812088,268.97899518442733,1.987129807472229
8.753109370318043,269.2058519354643,3.487478494644165
8.770599004732048,269.43273359014205,3.487478494644165
8.782240018090093,269.6596330364825,3.487478494644165
8.788054924264046,269.8865431591601,3.487478494644165
8.788054924264046,270.1134568408399,3.487478494644165
8.782240018090093,270.34036696351745,3.487478494644165
8.770599004732048,270.56726640985795,3.487478494644165
8.753109370318043,270.7941480645357,3.487478494644165
8.729737061812088,271.02100481557267,3.926548719406128
8.7004361409533,271.2478295556749,3.926548719406128
8.665148310194738,271.4746151835675,3.926548719406128
8.623802299107894,271.7013546053261,3.5372445583343506
8.576313095912909,271.9280407357054,3.5372445583343506
8.522581004280028,272.15466649946313,3.5372445583343506
8.462490500082254,272.3812248326799,3.5372445583343506
8.395908856036797,272.60770868407343,3.5372445583343506
8.322684493736205,272.8341110163065,3.5372445583343506
8.242645011859537,273.06042480728934,3.5372445583343506
8.155594825595145,273.2866430514739,3.5372445583343506
8.061312334407518,273.5127587611413,3.5372445583343506
1.5497847213707274,259.96602982632766,4.475375175476074
2.6136791950685705,260.18707997439884,4.475375175476074
3.341255789620618,260.40842552763525,4.475375175476074
3.924230948925228,260.630060458632,3.4812052249908447
4.4201652491518075,260.851978689575,3.1375157833099365
4.8557758729091205,261.0741740931047,3.1375157833099365
5.246088207439925,261.2966404932004,2.605910539627075
5.6005597957283015,261.51937166608474,2.605910539627075
5.92560655556008,261.7423613411492,2.605910539627075
6.225820752968232,261.96560320189906,2.605910539627075
6.5046246596361925,262.1890908869185,2.605910539627075
6.764650120336995,262.412817990855,2.521749258041382
7.007972740130484,262.6367780654223,2.521749258041382
7.236263511962065,262.8609646204229,2.521749258041382
7.4508909264277605,263.085371124789,2.521749258041382
7.65299202035699,263.3099910076402,2.521749258041382
7.843523197736147,263.5348176593602,2.521749258041382
8.023297452086283,263.7598444326904,2.899138927459717
8.193012193101112,263.98506464383956,2.899138927459717
8.353270424875191,264.21047157361096,2.899138927459717
8.504597120192173,264.43605846854445,2.899138927459717
8.647452058617887,264.6618185420749,2.899138927459717
8.782240018090107,264.8877449757049,2.899138927459717
8.909318956106247,265.11383092019247,2.899138927459717
