frame,dx_km,dy_km,mag_km,confidence,rmse
2,0.0,0.0,0.0,0.9931378761963077,0.5296597768537024
3,-1000.0,0.0,1000.0,0.9888565053294329,0.2882286294097505
4,0.0,1000.0,1000.0,0.9902218432275893,0.6722315478307646
