frame,time,dt_min,dx_km,dy_km,mag_km,speed_km_min,confidence,rmse
2,2025-11-21 08:37:50.271000+00:00,0.5033166666666667,0.0,0.0,0.0,0.0,0.9931378761963077,0.5296597768537024
3,2025-11-21 08:38:20.519000+00:00,0.5041333333333333,-1000.0,0.0,1000.0,1983.6022216344884,0.9888565053294329,0.2882286294097505
4,2025-11-21 08:39:00.712000+00:00,0.6698833333333333,0.0,1000.0,1000.0,1492.7972532530541,0.9902218432275893,0.6722315478307646
