metric,absolute,motion,scheduler
Coadd_m5_proxy,20.76744665394027,20.66129748950874,23.459577981222374
Delta_depth_vs_phot,0.08833480028072316,-0.014932396699840922,-0.6436114151248695
Max_airmass,1.8547236990991405,1.8547236990991405,1.7952062631345374
Max_gap_min,1.1720833356957883,1.1720833356957883,1.0117666656151414
Mean_airmass,1.4888744864636663,1.419461457818132,1.783520523298059
Mean_cloud_ext,-0.11722224892709027,-0.00701374908196997,0.02307415008544922
Mean_m5,24.568334800280724,24.46506760330016,23.83638858487513
Mean_slew_s,7.246697814863265,3.3399655692603827,12.97955843783105
Median_airmass,1.5748015748023623,1.5,1.783520523298059
Median_cloud_ext,-0.07780599594116211,0.01990154811314174,0.02307415008544922
Median_gap_min,0.5040833400562406,0.5040833400562406,1.0117666656151414
Median_m5,24.547968098773666,24.453703121979764,23.83638858487513
Median_seeing,0.7574801574802362,0.75,1.670228832058977
Median_slew_s,4.340303546600012,2.5263654493695316,12.97955843783105
Min_cloud_ext,-0.5875167846679688,-0.5810718536376953,0.01248931884765625
N_visits,1036.0,1036.0,2.0
Night_duration_h,9.175804999948014,9.175804999948014,0.016862777760252357
Open_shutter_frac,0.9408802097888201,0.9408802097888201,0.9883701785457721
Sky_frac_visited,0.038899739583333336,0.039957682291666664,0.00016276041666666666
Total_exposure_h,8.633333333333333,8.633333333333333,0.016666666666666666
Total_photons,90215870.21325187,81761470.24951363,151175.7196334154
Total_slew_h,2.0854385933884285,0.9611678693760435,0.007210865798795028
fO_area_deg2,1604.729449643751,1648.3727191947316,6.714349161689334
