metric,absolute,motion
Coadd_m5_proxy,20.159108762765353,20.098150588588396
Delta_depth_vs_phot,0.07837766358144194,-0.12403413307000477
Max_airmass,1.857417562100671,1.857417562100671
Max_gap_min,1.1730333301238716,1.1730333301238716
Mean_airmass,1.5643148477284745,1.52401926332109
Mean_cloud_ext,-0.11480914835429036,0.09163220673789449
Mean_m5,24.558377663581442,24.355965866929996
Mean_slew_s,7.783584835621807,5.7122635354673985
Median_airmass,1.6077867519239248,1.5416439755056996
Median_cloud_ext,-0.3620567321777344,0.03959941864013672
Median_gap_min,0.5040833400562406,0.5040833400562406
Median_m5,24.797589067671765,24.419097550978265
Median_seeing,0.7607786751923924,0.7541643975505699
Median_slew_s,5.536065710309531,3.1494959587496427
Min_cloud_ext,-0.5890884399414062,-0.5890884399414062
N_visits,940.0,940.0
Night_duration_h,8.317959444480948,8.317959444480948
Open_shutter_frac,0.9417373798966872,0.9417373798966872
Sky_frac_visited,0.053873697916666664,0.052897135416666664
Total_exposure_h,7.833333333333333,7.833333333333333
Total_photons,89734818.7812371,74397045.28087997
Total_slew_h,2.0323804848568052,1.4915354787053763
fO_area_deg2,2222.4495725191696,2182.163477549034
