night,strategy,strategy_label,N_visits,Total_photons,Open_shutter_frac,Median_m5,Mean_m5,Coadd_m5_proxy,Median_airmass,Mean_cloud_ext,Min_cloud_ext,Mean_slew_s,Total_slew_h,Total_exposure_h,Sky_frac_visited,fO_area_deg2,Delta_depth_vs_phot,Max_gap_min,Median_gap_min
2025-06-27,absolute,Abs Min (Green),1246.0,103435953.81922068,0.8496737939104795,24.590991584164584,24.4014574182741,19.809266763711612,1.624807680927192,0.03957930616191172,-0.6084737777709961,6.376519524519499,2.2069842576531378,10.383333333333333,0.023274739583333332,960.1519301215748,-0.07854258172590178,71.33411666960455,0.502916673431173
2025-06-27,motion,Motion Track (Blue),1246.0,85641914.94301265,0.8496737939104795,24.42737120977192,24.230587274840136,19.77486313282647,1.3784048752090217,0.22297403025856433,-0.32365503907203674,2.931193316736725,1.0145185757372108,10.383333333333333,0.02001953125,825.8649468877882,-0.24941272515986412,71.33411666960455,0.502916673431173
2025-06-27,scheduler,Scheduler (Red),866.0,58208045.68549561,0.6086731424552841,23.81971099556913,23.324068424759226,17.007022871593428,1.2456733138236804,0.37402912805131516,-0.07821961430211861,3.0707463450222168,0.7386850929970111,7.216666666666667,0.030843098958333332,1272.3691661401288,-1.1559315752407748,109.2291833285708,0.5029333324637264
2025-06-30,absolute,Abs Min (Green),1396.0,197354675.9462796,0.9533161882125107,24.630468962099698,24.576279637792805,19.820222044052798,1.6217245432755283,-0.13216658255501526,-4.3907012939453125,5.625876299061585,2.1815898093027704,11.633333333333333,0.0380859375,1571.1577038353041,0.09627963779280435,1.0089166718535125,0.5019833380356431
2025-06-30,motion,Motion Track (Blue),1396.0,158488121.86925662,0.9533161882125107,24.40531365960105,24.37513202146042,19.780843642969458,1.624807680927192,0.06818213471902733,-4.265930652618408,3.7684677712810717,1.461328057974549,11.633333333333333,0.045572916666666664,1880.0177652730135,-0.10486797853958052,1.0089166718535125,0.5019833380356431
2025-06-30,scheduler,Scheduler (Red),803.0,46472817.80341832,0.6703548520126277,23.195383468444515,22.945867145138138,18.083291481484626,1.2255582813855075,0.6920525352378897,-0.10356757044792175,3.072691131528842,0.6853808273937945,6.691666666666666,0.026611328125,1097.796087936206,-1.5341328548618627,66.44909999915399,0.502100003650412
2025-07-01,absolute,Abs Min (Green),1377.0,266677864.70908988,0.9407408419522857,24.470022930324834,24.7861391047887,20.290408646356823,1.5,-0.33263094422559536,-3.7781386375427246,5.466796718081918,2.091049744666334,11.475,0.045491536458333336,1876.6605906921689,0.30613910478869855,1.002083335770294,0.5021333321928978
2025-07-01,motion,Motion Track (Blue),1377.0,116002594.88536727,0.9407408419522857,24.24778583153132,24.267539236048453,20.152084132492067,1.5362291495737215,0.18680853171801207,-3.761996269226074,3.817495943269957,1.4601921983007584,11.475,0.06754557291666667,2786.454902101074,-0.21246076395154745,1.002083335770294,0.5021333321928978
2025-07-01,scheduler,Scheduler (Red),869.0,35516153.81546217,0.6172703434120241,23.079944305958968,22.769601735270975,17.480181423283014,1.2437182401754616,0.9267004908189752,-0.4615105986595154,3.049184339097359,0.7360392196321125,7.241666666666666,0.028238932291666668,1164.9395795530995,-1.710398264729026,100.97563332994469,0.5021166626829654
2025-07-14,absolute,Abs Min (Green),1304.0,306794545.53150696,0.900678257694515,24.45792074898194,24.57047904549778,19.178420719974888,1.374772708486752,-0.1122498413224885,-3.762032628059387,5.610461167322333,2.032233711718978,10.866666666666667,0.043619791666666664,1799.4455753327416,0.09047904549777996,32.540049991803244,0.5020166665781289
2025-07-14,motion,Motion Track (Blue),1304.0,151377456.94266552,0.900678257694515,24.214854436001204,24.093068321227154,19.168324704489685,1.378404875209022,0.3645832635135878,-3.652639150619507,5.575650090553477,2.019624366133815,10.866666666666667,0.053792317708333336,2219.092397938325,-0.3869316787728465,32.540049991803244,0.5020166665781289
2025-07-14,scheduler,Scheduler (Red),610.0,9870308.983354079,0.5114558994624148,21.345963376666653,21.376869641361953,17.153485908105395,1.2095038904856517,2.320994379513418,-0.03264400758780539,3.195269286906811,0.5414206291703207,5.083333333333333,0.022298177083333332,919.8658351514388,-3.1031303586380474,76.6915499966126,0.5020833236631006
2025-07-15,absolute,Abs Min (Green),1361.0,517650600.1790261,0.9401688992903096,24.73475624437159,25.544948982956413,20.885352480931,1.5,-1.0927146619333423,-3.762523651123047,4.585328339079884,1.7335088526354783,11.341666666666667,0.027587890625,1138.0821829063423,1.0649489829564125,1.0040333331562579,0.5019833380356431
2025-07-15,motion,Motion Track (Blue),1361.0,101159986.67989089,0.9401688992903096,24.462426881428645,24.414836404325094,20.47583665163401,1.2557870756069274,0.04885345273970525,-0.7500351071357727,2.527741269445749,0.9556266299210179,11.341666666666667,0.036376953125,1500.6570376375662,-0.06516359567490682,1.0040333331562579,0.5019833380356431
2025-07-15,scheduler,Scheduler (Red),708.0,52800473.21742467,0.5995620994904721,23.814083193902714,23.59055539163011,19.377418281312202,1.2426769395634634,0.05073887390843057,-0.15491792745888233,3.1482963426371895,0.6191649473853139,5.9,0.023274739583333332,960.1519301215748,-0.8894446083698888,80.32333333860151,0.5019999970681965
