metric,absolute,motion,scheduler
Coadd_m5_proxy,19.182837339007463,19.148126110320366,18.198480144910384
Delta_depth_vs_phot,0.6414234640695149,-0.20583042078449054,-1.6186612065350552
Max_airmass,1.857417562100671,1.857417562100671,1.8250218870277517
Max_gap_min,716.4219999988563,716.4219999988563,963.3129166730214
Max_slew_s,27.714285714285715,27.714285714285715,26.11163112346195
Mean_airmass,1.443122494004303,1.388940113588979,1.313854993347929
Mean_cloud_ext,-0.6657357134699453,0.18693640942558906,0.5979418731860794
Mean_m5,25.121423464069515,24.27416957921551,22.861338793464945
Mean_slew_s,5.097401939169445,4.0189641685937,2.4940388244844027
Median_airmass,1.4177446878757827,1.3232955494186138,1.2890917170321834
Median_cloud_ext,-0.2941189110279083,0.016963984444737436,0.04489046466187574
Median_gap_min,0.5020166665781289,0.5020166665781289,0.5020166665781289
Median_m5,24.72434263276841,24.442756512864914,23.056278983195618
Median_seeing,0.7417744687875782,0.7323295549418614,1.0290981670225448
Median_slew_s,2.611582304495558,2.358605044313279,2.0408953125802305
Min_cloud_ext,-3.762523651123047,-3.652639150619507,-0.09104484745434352
N_visits,2529.0,2529.0,1317.0
Night_duration_h,34.87175944430055,34.87175944430055,30.74982222210383
Open_shutter_frac,0.6043572316350071,0.6043572316350071,0.35691263255858785
Sky_frac_visited,0.061848958333333336,0.07853190104166667,0.023274739583333332
Total_exposure_h,21.075,21.075,10.975
Total_photons,814440945.1472325,244221382.72057986,74971156.77423199
Total_slew_h,3.580924862266535,2.8233223284370745,0.9124025366238774
Uniformity_frac,0.061848958333333336,0.07853190104166667,0.023274739583333332
fO_area_proxy,2551.452681441947,3239.673470515104,960.1519301215748
