strategy,frame_idx,photons_raw,extinction,sigma,zenith_angle,slew_time,expose_time
absolute,0,109537.9602978755,-0.30968713760375977,0.1877293884754181,54.735610317245346,0.0,32.0
absolute,1,100896.3634053092,-0.290536105632782,0.18304984271526337,54.735610317245346,2.0,30.0
absolute,2,95031.58655512395,-0.2666947543621063,0.023917535319924355,55.51861062801842,3.116470506680982,28.883529493319017
absolute,3,57686.978413659046,-0.21412860229611397,0.011351974215358496,38.876655136344326,13.597088635425564,18.402911364574436
absolute,4,57859.86894123435,-0.21737773716449738,0.024427583441138268,55.51861062801842,13.597088635425564,18.402911364574436
absolute,5,94711.55945510004,-0.2218547910451889,0.02410260960459709,55.51861062801842,2.0,30.0
absolute,6,94351.89249140289,-0.21772386133670807,0.02466309629380703,55.51861062801842,2.0,30.0
absolute,7,94521.56030767753,-0.21967452764511108,0.02389407344162464,55.51861062801842,2.0,30.0
absolute,8,128303.6392704641,-0.69310855679214,0.011711904546245933,42.674645497560086,5.669704322988096,26.330295677011904
absolute,9,86912.36467369758,-0.2702150344848633,0.0228711050003767,55.51861062801842,5.669704322988096,26.330295677011904
absolute,10,93736.86027934526,-0.3778795599937439,0.036253057420253754,51.04612098418316,6.283091338407043,25.716908661592957
absolute,11,109348.51639381179,-0.3778795599937439,0.036253057420253754,51.04612098418316,2.0,30.0
absolute,12,110892.56154276922,-0.39310336112976074,0.04537881165742874,51.04612098418316,2.0,30.0
absolute,13,110914.90286313437,-0.39332208037376404,0.027045095339417458,51.04612098418316,2.0,30.0
absolute,14,109633.4624502536,-0.3807051479816437,0.03366005793213844,51.04612098418316,2.0,30.0
absolute,15,110375.33707479936,-0.3880274295806885,0.03123397007584572,51.04612098418316,2.0,30.0
absolute,16,108872.51766323217,-0.3731429874897003,0.03836392983794212,51.04612098418316,2.0,30.0
absolute,17,110297.06862508492,-0.38725724816322327,0.03546449914574623,51.04612098418316,2.0,30.0
absolute,18,106012.74994742638,-0.34424257278442383,0.023830021265894175,51.04612098418316,2.0,30.0
absolute,19,104161.62405879034,-0.32511667907238007,0.019354723393917084,51.04612098418316,2.0,30.0
absolute,20,103183.60598006143,-0.3148740753531456,0.023707418236881495,51.04612098418316,2.0,30.0
absolute,21,106096.28499701682,-0.34509776532649994,0.02020653709769249,51.04612098418316,2.0,30.0
absolute,22,105353.80355515669,-0.3374728709459305,0.02526367735117674,51.04612098418316,2.0,30.0
absolute,23,105219.9164447986,-0.3360922038555145,0.020417463965713978,51.04612098418316,2.0,30.0
absolute,24,108151.91156975344,-0.365932822227478,0.03127554431557655,51.04612098418316,2.0,30.0
absolute,25,109189.84914596402,-0.3763029873371124,0.025265321135520935,51.04612098418316,2.0,30.0
absolute,26,108487.82506052707,-0.36929982900619507,0.029127836227416992,51.04612098418316,2.0,30.0
absolute,27,83733.79527476107,-0.23237621784210205,0.023592377081513405,55.068385014185104,5.733000077848366,26.266999922151633
absolute,28,95070.51498738506,-0.22596193850040436,0.023418018594384193,55.068385014185104,2.0,30.0
absolute,29,97285.78940225979,-0.25097084045410156,0.02253573387861252,55.068385014185104,2.0,30.0
absolute,30,95843.72596172312,-0.23475654423236847,0.023306652903556824,55.068385014185104,2.0,30.0
absolute,31,69063.73983666883,-0.2871865928173065,0.04583018273115158,55.068385014185104,11.401497977996542,20.59850202200346
absolute,32,103203.74051266487,-0.31508591771125793,0.028835024684667587,55.068385014185104,2.0,30.0
absolute,33,99947.0803989386,-0.28027260303497314,0.0459737554192543,55.068385014185104,2.0,30.0
absolute,34,56705.431595651746,-0.33143991231918335,0.021619467996060848,51.67118189854412,15.762884535129988,16.237115464870012
absolute,35,82152.30098229689,-0.2379634529352188,0.022472718730568886,55.068385014185104,6.361386557133447,25.638613442866554
absolute,36,98084.06007756214,-0.2598434090614319,0.022551145404577255,55.068385014185104,2.0,30.0
absolute,37,88809.82984020317,-0.3225667178630829,0.024450256023555994,51.67118189854412,6.361386557133447,25.638613442866554
absolute,38,102289.16978212752,-0.30542145669460297,0.022073933389037848,51.67118189854412,2.0,30.0
absolute,39,107224.74639136225,-0.35658489167690277,0.022976120002567768,51.67118189854412,2.0,30.0
absolute,40,103721.53311055087,-0.3205196410417557,0.023096085991710424,51.67118189854412,2.0,30.0
absolute,41,105354.02333611017,-0.33747513592243195,0.023771146312355995,51.67118189854412,2.0,30.0
absolute,42,105323.15294136672,-0.3371569514274597,0.022585191763937473,51.67118189854412,2.0,30.0
absolute,43,104483.45900969404,-0.32846617698669434,0.02335543418303132,51.67118189854412,2.0,30.0
absolute,44,103898.56110893175,-0.32237115502357483,0.02377305179834366,51.67118189854412,2.0,30.0
absolute,45,104483.45900969404,-0.32846617698669434,0.02335543418303132,51.67118189854412,2.0,30.0
absolute,46,105508.35180007502,-0.33906441926956177,0.021506331861019135,51.67118189854412,2.0,30.0
absolute,47,89702.15446961038,-0.3133500814437866,0.003162482287734747,52.75478326888512,5.883015869353894,26.116984130646106
absolute,48,103089.28102447256,-0.3138810992240906,0.003124904353171587,52.75478326888512,2.0,30.0
absolute,49,50474.22643482927,-0.32064318656921387,0.017503393813967705,57.42644430080314,17.402698416360394,14.597301583639606
absolute,50,49458.62168149295,-0.2985740303993225,0.0031534857116639614,52.75478326888512,17.402698416360394,14.597301583639606
absolute,51,101646.09136443127,-0.2985740303993225,0.0031534857116639614,52.75478326888512,2.0,30.0
absolute,52,102643.17174283514,-0.30917248129844666,0.0031531204003840685,52.75478326888512,2.0,30.0
absolute,53,102338.58232991271,-0.30594581365585327,0.0031473904382437468,52.75478326888512,2.0,30.0
absolute,54,102928.92549933988,-0.3121909201145172,0.003110292134806514,52.75478326888512,2.0,30.0
absolute,55,102675.62541668466,-0.30951571464538574,0.0031154612079262733,52.75478326888512,2.0,30.0
absolute,56,100967.35125355922,-0.2912997305393219,0.0031482388731092215,52.75478326888512,2.0,30.0
absolute,57,102525.50373900922,-0.30792710185050964,0.0031414928380399942,52.75478326888512,2.0,30.0
absolute,58,42400.98076005844,-0.150010113051394,0.013747969176620245,55.89078582309227,17.65065621477874,14.349343785221262
absolute,59,71307.74683309716,-0.15141985620721243,0.016602101968601346,53.147278850917374,7.899338936846125,24.100661063153876
absolute,60,89046.43678261607,-0.15488868672400713,0.017365101259201765,53.147278850917374,2.0,30.0
absolute,61,51474.140586862995,-0.2581939697265625,0.021712254732847214,52.431407971172504,16.2321783080177,15.767821691982299
absolute,62,90494.41283731171,-0.17240173866351446,0.017918394257624943,52.431407971172504,2.0,30.0
absolute,63,101431.82323483474,-0.29628290235996246,0.018223807215690613,52.431407971172504,2.0,30.0
absolute,64,91008.42750866266,-0.17855134854714075,0.01963292419289549,52.431407971172504,2.0,30.0
absolute,65,103238.56192369753,-0.3154521882534027,0.020406742114573717,52.431407971172504,2.0,30.0
absolute,66,102832.45596029305,-0.31117284297943115,0.02575162285938859,52.431407971172504,2.0,30.0
absolute,67,103075.06279843433,-0.3137313425540924,0.017404090147465467,52.431407971172504,2.0,30.0
absolute,68,98241.93182273784,-0.26158955693244934,0.01580655761063099,52.431407971172504,2.0,30.0
absolute,69,103235.7040855688,-0.3154221326112747,0.025001602713018656,52.431407971172504,2.0,30.0
absolute,70,104061.91685050925,-0.3240768760442734,0.026044947560876608,52.431407971172504,2.0,30.0
