metric,absolute,motion
Coadd_m5_proxy,20.71742310042771,20.59359501370747
Delta_depth_vs_phot,-0.03935999393551626,-0.16348095169681187
Max_airmass,1.8493242008906932,1.8275666882497066
Max_gap_min,1.007633339613676,1.007633339613676
Mean_airmass,1.611438968950548,1.367078626304736
Mean_cloud_ext,-0.0017839029595362185,0.14677308906633352
Mean_m5,24.440640006064484,24.31651904830319
Mean_slew_s,7.8629733135653606,2.686596254112236
Median_airmass,1.6431676725154982,1.4003967691733337
Median_cloud_ext,-0.0061550140380859375,0.11311499277750652
Median_gap_min,0.5041499971412122,0.5041499971412122
Median_m5,24.437093539000543,24.353151897065075
Median_seeing,0.7643167672515497,0.7400396769173333
Median_slew_s,3.9772422130936604,2.0
Min_cloud_ext,-0.4032859802246094,-0.4032859802246094
N_visits,931.0,931.0
Night_duration_h,8.241986944573,8.241986944573
Open_shutter_frac,0.941318323543442,0.941318323543442
Sky_frac_visited,0.034749348958333336,0.030680338541666668
Total_exposure_h,7.758333333333334,7.758333333333334
Total_photons,72404536.44124816,63033594.22973634
Total_slew_h,2.0334522652581533,0.6947836423829143
fO_area_deg2,1433.513546020673,1265.6548169784396
