metric,absolute,motion
Coadd_m5_proxy,20.619624988011225,20.528169249355276
Delta_depth_vs_phot,-0.0810439081350367,-0.17799869093904874
Max_airmass,1.857417562100671,1.857417562100671
Max_gap_min,1.17203333764337,1.17203333764337
Mean_airmass,1.6127769445743472,1.5553210209282684
Mean_cloud_ext,0.039766213677598805,0.14246658884622182
Mean_m5,24.398956091864964,24.30200130906095
Mean_slew_s,10.066090245528086,3.5321243972882344
Median_airmass,1.6522711641858305,1.6346045353737688
Median_cloud_ext,-0.012197494506835938,0.08877808707101005
Median_gap_min,0.5041500076185912,0.5041500076185912
Median_m5,24.4447857612081,24.35154812863586
Median_seeing,0.765227116418583,0.7634604535373768
Median_slew_s,7.179119676777824,2.1688463724104605
Min_cloud_ext,-0.3049488067626953,-0.08939361572265625
N_visits,973.0,973.0
Night_duration_h,8.617201111104805,8.617201111104805
Open_shutter_frac,0.9409474409136575,0.9409474409136575
Sky_frac_visited,0.0419921875,0.035319010416666664
Total_exposure_h,8.108333333333333,8.108333333333333
Total_photons,73232213.30744827,66631492.98201883
Total_slew_h,2.7206405024718965,0.9546547329337367
fO_area_deg2,1732.3020837158483,1457.0137680865855
