band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
r,61047.11459545139,75.62920417958703,16.72457364426907,42.986019134521484,82.60844085028225,True,79.59362372144993,2578.109375,31.5568904876709,23.104372024536133,1.4635891914367676,32.17755126953125,0.6206607818603516,21.3,-2556.809375,0.0,-1.0,True,True,True
r,61068.10645043982,75.69102068954254,-31.73849740228687,73.77738952636719,70.91973717901814,True,60.429431328347995,2352.306884765625,31.186893463134766,22.680587768554688,1.0407458543777466,32.17755126953125,0.9906578063964844,21.3,-2331.006884765625,0.0,-1.0,True,True,True
r,61011.020345613426,316.43745152058096,-65.16292067864674,43.47625732421875,87.49612255713524,True,94.63218186075991,19244.96484375,31.518983840942383,21.569705963134766,1.4495909214019775,32.17755126953125,0.6585674285888672,21.3,-19223.66484375,0.0,-1.0,True,True,True
r,61011.05790738426,322.29245092771146,-65.17243870630581,40.40081024169922,87.68325980069908,True,92.81231459143144,2484.84033203125,31.391773223876953,22.80301284790039,1.5384812355041504,32.17755126953125,0.7857780456542969,21.3,-2463.54033203125,0.0,-1.0,True,True,True
i,61008.04567581019,31.93192405180176,-50.13219916719215,65.85633850097656,57.89076606216579,True,59.051494804950394,1263.3699951171875,31.231992721557617,23.412227630615234,1.095451831817627,31.966468811035156,0.7344760894775391,20.5,-1242.8699951171875,0.0,-1.0,True,True,True
r,61052.302135694445,161.777734560097,-58.862751624394676,60.038116455078125,34.09562111423669,True,56.19527436803952,1438.5029296875,31.582422256469727,23.40204620361328,1.1534197330474854,32.17755126953125,0.5951290130615234,21.3,-1417.2029296875,0.0,-1.0,True,True,True
i,60988.26565850694,68.64632080125475,-77.22348252062253,43.01665115356445,80.27515574721762,True,107.56154601751223,3686.8515625,30.906002044677734,21.53255844116211,1.4631264209747314,31.966468811035156,1.0604667663574219,20.5,-3666.3515625,0.0,-1.0,True,True,True
i,60985.04560965278,350.378546682698,-60.39031484973797,59.9884033203125,99.33330216089624,True,95.2612288108665,15655.5625,31.441848754882812,21.91434669494629,1.1541528701782227,31.966468811035156,0.5246200561523438,20.5,-15635.0625,0.0,-1.0,True,True,True
z,61069.047771956015,354.7653254282564,-41.25992562752449,26.727445602416992,80.60737041575986,True,101.72198721138338,3455.5009765625,30.74869155883789,22.039653778076172,2.207075357437134,31.58596897125244,0.8372774124145508,19.6,-3435.9009765625,0.0,-1.0,True,True,True
i,60975.155574641205,6.75235782680577,-47.811971819357346,69.60099792480469,25.605118673540566,True,71.1286667557918,1828.6998291015625,31.37016487121582,23.38128662109375,1.0663961172103882,31.966468811035156,0.5963039398193359,20.5,-1808.1998291015625,0.0,-1.0,True,True,True
