band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,zp_scale,sky_scale,sky_bg,zero_point,mag_lim,dream_ext,dt_sec,zp_deficit,sky_excess_mag
i,60973.02050275463,341.19736726200307,-29.873374585463537,80.10688018798828,10.360518524452395,True,81.17947216560582,0.7120640873908997,0.6888854503631592,2305.47021484375,31.678455352783203,22.568941116333008,0.016040802001953125,7.85,0.3687022927769532,0.4046324692189255
i,60973.02968601852,324.56345821673466,-17.386055176840298,74.87041473388672,10.408620937024477,True,72.2052609044682,0.6791741251945496,0.6626788377761841,2396.64111328125,31.652782440185547,22.411048889160156,0.024272918701171875,5.167,0.4200471699082007,0.4467422452582421
i,60973.03059736111,325.04420340352885,-17.386687830204988,74.94098663330078,10.413468889701093,True,72.61691923271083,0.8585410118103027,0.6729703545570374,2359.9931640625,31.78000831604004,22.649272918701172,0.025173187255859375,13.324,0.16559738527779225,0.43001016683926746
i,60973.03192998843,325.52568711700735,-17.38739834812882,74.9410629272461,10.420582192922767,True,73.02417317827341,0.9954835176467896,0.6761042475700378,2349.132568359375,31.86038589477539,22.858802795410156,0.0249481201171875,7.575,0.004914815621583168,0.42496583908873076
i,60973.03235628472,325.5257461860767,-17.38739640937755,74.86933135986328,10.42286377967947,True,73.01943316071285,0.9730874300003052,0.6731449365615845,2359.453125,31.84803009033203,22.821414947509766,0.020320892333984375,14.077,0.02962034367430856,0.4297285416243257
i,60973.0359534838,326.97914932317656,-17.38949417449278,74.94117736816406,10.44223445872699,True,74.25164909654528,0.8935958743095398,0.67368483543396,2357.488037109375,31.801733016967773,22.707500457763672,0.02524566650390625,1.188,0.12214711251294792,0.4288580711369136
i,60973.03637141204,326.97897124150813,-17.389493915862897,74.8707504272461,10.444498690523712,True,74.24676221762996,0.9051148891448975,0.671928882598877,2363.72216796875,31.808719635009766,22.715045928955078,0.024768829345703125,6.999,0.10824072724993834,0.43169172632864083
i,60973.03902849537,328.0897271707211,-17.39111771502664,74.94120788574219,10.458961092490426,True,75.18755756387911,0.9307029247283936,0.6597751379013062,2407.19140625,31.823820114135742,22.741554260253906,0.0184326171875,15.164,0.07797230329294151,0.4515101346612416
i,60973.03944700232,328.08964928826657,-17.391034554712615,74.87065887451172,10.461249577307314,True,75.18275083586803,0.9590134620666504,0.6536978483200073,2429.5654296875,31.840084075927734,22.783618927001953,0.015636444091796875,11.128,0.04543824104042595,0.4615573613357232
i,60973.04345417824,329.5375329895921,-17.392983389202687,74.87091064453125,10.483307682887155,True,76.40026965701749,0.9619017243385315,0.6069260239601135,2616.796875,31.841716766357422,22.788610458374023,0.04046630859375,14.024,0.04217324183297135,0.542160600745885
i,60973.04933111111,331.8110410376145,-17.395888560988357,74.94116973876953,10.51613821893415,True,78.31050934671816,1.0787173509597778,0.6315029859542847,2515.04638671875,31.90397834777832,23.019533157348633,0.001323699951171875,7.541,-0.08226916082882575,0.49906147904081366
i,60973.04974900463,331.8107131403624,-17.3958859587819,74.87068176269531,10.518494528889555,True,78.30537625251738,0.9608957767486572,0.6328181028366089,2509.8125,31.8411865234375,22.803682327270508,0.008358001708984375,13.436,0.04330928847069024,0.49680276400353895
z,60973.062258125,331.9025736378179,-17.35849836393576,72.42244720458984,10.590375570825955,True,78.2530657362972,1.1738379001617432,0.7889330387115479,3019.2763671875,31.559816360473633,22.77297592163086,0.008104324340820312,5.544,-0.17402031909779475,0.25739964074759447
z,60973.06526618056,324.62517619025084,-28.223512005633566,71.30567932128906,10.608051088201897,True,67.92921752345832,1.141685962677002,0.7552233934402466,3154.14794921875,31.544776916503906,22.70254898071289,0.025655746459960938,12.393,-0.14386665331208578,0.304811415006364
z,60973.066236770836,322.88339904981706,-30.970549887791385,69.8863296508789,10.61378671701781,True,65.6150539804824,1.136486530303955,0.7777905464172363,3062.52978515625,31.542261123657227,22.737506866455078,0.019090652465820312,5.371,-0.13891073202812027,0.2728433493707907
z,60973.06674484954,324.4076009506834,-33.83133541551327,71.02075958251953,10.616795472054608,True,65.99470285767731,1.1632041931152344,0.7835605144500732,3039.969482421875,31.554872512817383,22.795494079589844,0.0184326171875,9.045,-0.16413989765330667,0.2648186432441556
z,60973.06775043981,324.44395041290056,-39.39946339359512,69.60437774658203,10.62276317864722,True,64.50874413270485,1.0514552593231201,0.751292884349823,3170.532470703125,31.500041961669922,22.513044357299805,0.029611587524414062,5.316,-0.05447699416669634,0.3104768110838928
z,60973.068195671294,328.11107207520587,-39.453193297235835,72.09661102294922,10.62541084068711,True,67.22095778535207,1.1164295673370361,0.7986654043197632,2982.484375,31.532596588134766,22.646759033203125,0.006626129150390625,13.54,-0.11957832438132437,0.24408781858713094
r,60973.08582127315,328.4391033022782,-41.941700611321885,66.9070053100586,10.732900431137532,True,66.59634188648623,0.9993503093719482,0.7666763067245483,1289.3349609375,32.052452087402344,23.298866271972656,0.0052814483642578125,4.513,0.0007056218795570822,0.2884698948064059
r,60973.08623865741,328.43912990044345,-41.94169958841214,66.80288696289062,10.7355090820211,True,66.59203039634323,1.0072076320648193,0.7694025039672852,1284.764892578125,32.05670166015625,23.303264617919922,0.021564483642578125,10.386,-0.007797519891787511,0.2846160116138022
r,60973.08737959491,329.00294391025056,-41.94246620370913,66.90721130371094,10.742654848621674,True,66.98401333307227,1.1104873418807983,0.7742318511009216,1276.7974853515625,32.10973358154297,23.605178833007812,-0.001308441162109375,8.405,-0.11378403129351065,0.2778224155546839
r,60973.08779697917,329.0027782689555,-41.94251981338546,66.80293273925781,10.745274406929717,False,66.97953308871408,1.1591764688491821,0.7700921297073364,1283.61279296875,32.13298797607422,23.715137481689453,0.033252716064453125,13.728,-0.16037389105971234,0.28364328762060154
r,60973.0899137963,329.91912915186145,-41.9436871472971,66.90701293945312,10.75860477876241,False,67.61249916157568,0.9681683778762817,0.7779772877693176,1270.6060791015625,32.035247802734375,23.363563537597656,0.012838363647460938,5.044,0.035122765759491525,0.27258270399247836
