band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
g,61057.24933972222,146.34255580889172,-10.864213165363653,68.1469955444336,2.392591935119376,False,121.5365057353948,569.933349609375,32.26129150390625,24.575599670410156,1.0771571397781372,32.23981475830078,-0.02147674560546875,22.2,-547.733349609375,8.06603600462135e-220,-1.0,False,False,False
y,60983.24841438657,51.63285072905139,-13.789566415227018,70.90646362304688,97.20705197993902,True,41.25163044625152,8501.037109375,30.563566207885742,21.417076110839844,1.0577682256698608,30.497295379638672,-0.06627082824707031,18.6,-8482.437109375,0.0,-1.0,True,False,False
r,61019.07408373843,349.6915355453786,-11.246519228426427,44.31020736694336,67.68868094454965,False,160.48401372395713,1466.9521484375,32.12910461425781,23.5919189453125,1.4271376132965088,32.17755126953125,0.0484466552734375,21.3,-1445.6521484375,0.0,-1.0,False,False,False
y,61050.25381342592,135.3251658312621,3.528830350756055,55.939186096191406,53.495475283010855,True,59.047511540373705,1726.8271484375,30.482126235961914,22.45795440673828,1.206005334854126,30.497295379638672,0.015169143676757812,18.6,-1708.2271484375,0.0,-1.0,True,False,False
z,61010.28394706018,77.18667578351678,-15.362367996005577,63.242496490478516,80.45841155787517,False,67.67783390220464,2747.28369140625,31.598594665527344,23.404827117919922,1.1186081171035767,31.58596897125244,-0.012625694274902344,19.6,-2727.68369140625,0.0,-1.0,False,False,False
i,61024.22949020833,66.34714733783356,-29.21125147263491,64.64298248291016,19.375712902615394,False,122.38316043033177,1708.022216796875,31.984966278076172,23.86922264099121,1.1053125858306885,31.966468811035156,-0.018497467041015625,20.5,-1687.522216796875,0.0,-1.0,False,False,False
r,61004.118955555554,2.17512387803592,-25.862384465708168,59.97824478149414,19.56616891311558,True,57.92215277417919,1069.1260986328125,32.011714935302734,23.828853607177734,1.1532065868377686,32.17755126953125,0.16583633422851562,21.3,-1047.8260986328125,0.0,-1.0,False,False,False
y,61045.305992326386,124.61695809769368,-72.93342033924671,46.00851821899414,95.15897251067283,True,93.99609519409216,3547.33154296875,30.559200286865234,21.747838973999023,1.3872956037521362,30.497295379638672,-0.0619049072265625,18.6,-3528.73154296875,0.0,-1.0,True,False,False
r,61020.123196898145,53.21103092510621,-50.335754883709825,69.99134063720703,57.08261111835347,False,108.67615769534225,817.8828125,32.20872497558594,24.373600006103516,1.0637818574905396,32.17755126953125,-0.0311737060546875,21.3,-796.5828125,2.32744e-319,-1.0,False,False,False
r,60981.02280811343,338.1866036221285,-50.37945722592404,69.99049377441406,83.15636692323164,True,48.754710222991875,4632.400390625,32.14124298095703,22.990856170654297,1.063965082168579,32.17755126953125,0.03630828857421875,21.3,-4611.100390625,0.0,-1.0,True,False,False
y,60982.303836747684,108.21148960071167,-59.51098544763796,55.509891510009766,92.25243418055473,True,100.98692553165793,2650.75927734375,30.420772552490234,21.525726318359375,1.2127195596694946,30.497295379638672,0.0765228271484375,18.6,-2632.15927734375,0.0,-1.0,True,False,False
i,61090.21561763889,150.1091024114912,2.0480737917875635,57.42145919799805,3.4059510399587656,False,158.85263746778077,2445.765869140625,31.975357055664062,23.6173038482666,1.1854305267333984,31.966468811035156,-0.00888824462890625,20.5,-2425.265869140625,0.0,-1.0,False,False,False
u,61057.300498449076,149.98156445629073,2.1815007923752994,57.512508392333984,2.2060532876006675,False,127.21443894326119,69.91854095458984,30.409557342529297,23.764118194580078,1.1843451261520386,30.217243194580078,-0.19231414794921875,22.0,-47.918540954589844,6.80116980718987e-20,-1.0,False,False,False
i,61006.28001236111,113.85218304042549,-58.13324439842975,59.54414749145508,39.21890566291403,False,102.48158155803118,1829.4434814453125,31.96508026123047,23.759292602539062,1.1593797206878662,31.966468811035156,0.0013885498046875,20.5,-1808.9434814453125,0.0,-1.0,False,False,False
i,60975.22362532408,43.80446695538034,-12.670696604764535,72.28025817871094,26.29297392639745,False,115.54615251753754,1731.475830078125,29.81900978088379,21.479124069213867,1.0496083498001099,31.966468811035156,2.147459030151367,20.5,-1710.975830078125,0.0,-1.0,False,True,False
y,61048.30480025463,129.5507482023143,6.318719525505994,50.135292053222656,72.53807549670503,True,41.709519044664845,3684.86962890625,30.37171173095703,21.489139556884766,1.300542950630188,30.497295379638672,0.12558364868164062,18.6,-3666.26962890625,0.0,-1.0,True,False,False
z,61051.29538912037,112.06044172231218,-40.09678051825136,60.73614501953125,43.455793829976415,True,83.23476487374012,3797.40283203125,31.589092254638672,23.04024887084961,1.1446284055709839,31.58596897125244,-0.0031232833862304688,19.6,-3777.80283203125,0.0,-1.0,True,False,False
i,61042.291891180554,108.73271835066103,-29.81329752626877,66.56861114501953,97.7353401836968,True,63.229768287671284,4220.6376953125,31.992816925048828,23.44887924194336,1.0887173414230347,31.966468811035156,-0.026348114013671875,20.5,-4200.1376953125,0.0,-1.0,True,False,False
i,61008.089503344905,53.297024094070515,-52.158551019850904,61.959171295166016,58.21752591189063,True,72.0472846970224,2180.5927734375,31.976848602294922,23.74582290649414,1.132598638534546,31.966468811035156,-0.010379791259765625,20.5,-2160.0927734375,0.0,-1.0,True,False,False
i,61069.08255545139,52.877822927050225,-28.263307587615497,60.34606170654297,80.80167063706172,True,60.908303966148445,3312.31640625,31.960002899169922,23.498262405395508,1.1489150524139404,31.966468811035156,0.006465911865234375,20.5,-3291.81640625,0.0,-1.0,True,False,False
r,60989.166157430554,4.125275175358716,-26.004021566660732,59.7537727355957,71.16729644337627,False,118.79082104689675,1290.865966796875,32.205718994140625,24.174053192138672,1.156079649925232,32.17755126953125,-0.028167724609375,21.3,-1269.565966796875,0.0,-1.0,False,False,False
g,61088.22548990741,134.9340616829886,-24.886407219332423,69.62061309814453,0.07168631355716215,False,139.42523006274965,485.9087219238281,32.29362487792969,24.84820556640625,1.065768837928772,32.23981475830078,-0.05381011962890625,22.2,-463.70872192382814,3.2848173843860596e-186,-1.0,False,False,False
y,61044.21961662037,127.60830545167026,-59.468493154966495,58.81760025024414,98.94220513822272,True,85.53414136848228,3636.6103515625,30.56610679626465,22.09233856201172,1.1680625677108765,30.497295379638672,-0.06881141662597656,18.6,-3618.0103515625,0.0,-1.0,True,False,False
i,61006.3029009838,114.54856882263434,-68.34276221076414,51.40333557128906,39.5184006478571,False,93.87006342979585,1783.1767578125,31.945117950439453,23.530733108520508,1.2779641151428223,31.966468811035156,0.021350860595703125,20.5,-1762.6767578125,0.0,-1.0,False,False,False
z,61069.04559670139,358.4168297218141,-24.660742056133557,24.293006896972656,80.59523755854907,True,90.73051822264648,3819.151123046875,30.735328674316406,21.918609619140625,2.4089295864105225,31.58596897125244,0.8506402969360352,19.6,-3799.551123046875,0.0,-1.0,True,True,True
r,60985.111746875,14.046108280060658,-60.39025482592416,59.986427307128906,99.22584343429013,True,88.25257779908267,6271.28857421875,32.031707763671875,22.571372985839844,1.1541712284088135,32.17755126953125,0.145843505859375,21.3,-6249.98857421875,0.0,-1.0,True,False,False
r,61004.10788724537,358.2141100542802,-25.86233348265433,60.01190185546875,19.474084047717348,True,54.565906935797045,1121.18115234375,31.797744750976562,23.416954040527344,1.1528127193450928,32.17755126953125,0.3798065185546875,21.3,-1099.88115234375,0.0,-1.0,False,True,False
r,61049.05615837963,56.70413654950499,14.680148637987925,44.98982238769531,65.18689294635386,False,122.53655420062023,1196.7879638671875,31.957550048828125,23.337726593017578,1.412009835243225,32.17755126953125,0.220001220703125,21.3,-1175.4879638671875,0.0,-1.0,False,False,False
i,61007.18211025463,79.51984216807513,-15.90779771235723,68.2607192993164,48.33127165824823,True,100.23959521112626,2364.5,32.000823974609375,24.077598571777344,1.0765047073364258,31.966468811035156,-0.03435516357421875,20.5,-2344.0,0.0,-1.0,True,False,False
z,61020.3022027662,97.68655719282276,-42.096271373562644,69.8740005493164,55.44438548170746,True,78.17059403176265,2565.39794921875,31.589582443237305,23.249114990234375,1.064212679862976,31.58596897125244,-0.0036134719848632812,19.6,-2545.79794921875,0.0,-1.0,True,False,False
r,61058.16290325231,97.7787977297061,-5.116296113863846,63.98704528808594,0.5106920577517104,False,146.78110794448025,878.4619140625,32.20146942138672,24.55779266357422,1.1118324995040894,32.17755126953125,-0.02391815185546875,21.3,-857.1619140625,0.0,-1.0,False,False,False
r,61060.054665358795,43.36929152404028,-14.554912834312882,62.45232391357422,1.4310551030278618,False,83.01885421464831,1063.35791015625,32.18489074707031,24.424453735351562,1.1264493465423584,32.17755126953125,-0.0073394775390625,21.3,-1042.05791015625,0.0,-1.0,False,False,False
z,61009.200797094905,81.68467443153365,-0.8042982944529695,58.64223098754883,69.8290675317307,True,81.65603514323514,4063.0126953125,31.5950870513916,22.969026565551758,1.1704596281051636,31.58596897125244,-0.009118080139160156,19.6,-4043.4126953125,0.0,-1.0,True,False,False
