band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,sky_bg,zero_point
i,60973.05195028935,332.756962097023,-17.39703973696578,74.94110870361328,10.530954499186318,True,2485.7392578125,31.88303565979004
i,60973.052368240744,332.75699536436343,-17.39703541794113,74.87078094482422,10.53332934571382,True,2474.128173828125,31.891626358032227
i,60973.05316795139,333.19686707150055,-17.39756542035603,74.94115447998047,10.537881501638886,True,2430.240234375,31.901182174682617
i,60973.05358547454,333.19679927832703,-17.397646456281468,74.87091827392578,10.5402623833882,True,2405.2490234375,31.892908096313477
i,60973.054565439816,333.7016502832314,-17.398155348083108,74.94115447998047,10.545861949697056,True,2360.510986328125,31.86554718017578
i,60973.05498299769,333.7017699263894,-17.39815340833065,74.87092590332031,10.548252761059306,True,2342.896240234375,31.88581085205078
z,60973.062258125,331.9025736378179,-17.35849836393576,72.42244720458984,10.590375570825955,True,3019.2763671875,31.559816360473633
z,60973.062759444445,328.7995981970267,-17.329090908083757,70.26908111572266,10.593310821531949,True,3024.193359375,31.534637451171875
z,60973.063213194444,329.97234415207134,-19.996186398896604,72.77066802978516,10.595971181784547,True,3029.6357421875,31.524913787841797
z,60973.06377494213,328.12665302451603,-22.706518129750414,72.76610565185547,10.59926951903964,True,3092.9677734375,31.521381378173828
z,60973.06423981481,325.0565547462683,-22.668908249004385,70.12380981445312,10.602003049643399,True,3164.391845703125,31.5510311126709
z,60973.06474480324,326.35633389589975,-25.46036219129418,72.18748474121094,10.604976573847551,True,3103.41552734375,31.540796279907227
z,60973.06526618056,324.62517619025084,-28.223512005633566,71.30567932128906,10.608051088201897,True,3154.14794921875,31.544776916503906
z,60973.06577335648,326.13803969862596,-31.063418250086293,72.81929779052734,10.611046233740234,True,2941.223876953125,31.52924346923828
z,60973.066236770836,322.88339904981706,-30.970549887791385,69.8863296508789,10.61378671701781,True,3062.52978515625,31.542261123657227
z,60973.06674484954,324.4076009506834,-33.83133541551327,71.02075958251953,10.616795472054608,True,3039.969482421875,31.554872512817383
z,60973.06726510417,326.1237131511518,-36.66975681783841,71.79540252685547,10.619880820501375,True,3032.067626953125,31.531688690185547
z,60973.06775043981,324.44395041290056,-39.39946339359512,69.60437774658203,10.62276317864722,True,3170.532470703125,31.500041961669922
z,60973.068195671294,328.11107207520587,-39.453193297235835,72.09661102294922,10.62541084068711,True,2982.484375,31.532596588134766
z,60973.068704930556,326.5471803267901,-42.16852426313549,69.6914291381836,10.628443337175097,True,2982.58251953125,30.412864685058594
