metric,absolute,motion,scheduler
Coadd_m5_proxy,19.79337060998186,19.778458997195713,23.282489736404614
Delta_depth_vs_phot,-0.4461104027745968,-0.5027571812309688,-0.6006538548681704
Max_airmass,1.857417562100671,1.857417562100671,1.7760025262524037
Max_gap_min,0.6908166676294059,0.6908166676294059,1.6770500026177615
Mean_airmass,1.4364543776618275,1.426164873888556,1.740141179738347
Mean_cloud_ext,0.42246496500841335,0.48014069384211505,0.015166812472873263
Mean_m5,24.033889597225404,23.97724281876903,23.87934614513183
Mean_slew_s,7.130206357493698,4.224351739440449,9.820029521727434
Median_airmass,1.5,1.4636332266733434,1.7718484055381365
Median_cloud_ext,0.19525909423828125,0.31880760192871094,0.0029513041178385415
Median_gap_min,0.5036333261523396,0.5036333261523396,1.0908583353739232
Median_m5,24.261631604356246,24.126030006050062,23.875383898459166
Median_seeing,0.75,0.7463633226673343,1.657171750910763
Median_slew_s,4.124711331618016,2.4128783824466074,2.7001350945285783
Min_cloud_ext,-0.22228050231933594,-0.22228050231933594,-0.0026702880859375
N_visits,1053.0,1053.0,3.0
Night_duration_h,9.313965833222028,9.313965833222028,0.036361944512464106
Open_shutter_frac,0.9421335827429675,0.9421335827429675,0.6875319880305906
Sky_frac_visited,0.044759114583333336,0.046549479166666664,0.000244140625
Total_exposure_h,8.775,8.775,0.025
Total_photons,61688217.69819468,57829097.80190921,228454.32308372873
Total_slew_h,2.085585359566907,1.2356228837863312,0.008183357934772862
fO_area_deg2,1846.446019464567,1920.3038602431495,10.071523742534001
