metric,absolute,motion
Coadd_m5_proxy,20.843087153933908,20.684885200767795
Delta_depth_vs_phot,0.1427230870082532,-0.020512853870023662
Max_airmass,1.857417562100671,1.8275666882497066
Max_gap_min,0.6788833311293274,0.6788833311293274
Mean_airmass,1.4960708587931626,1.3969708427973573
Mean_cloud_ext,-0.17233017288757205,0.0008157695902850976
Mean_m5,24.622723087008254,24.459487146129977
Mean_slew_s,4.845752841868348,2.622447461487742
Median_airmass,1.50996688705415,1.3437096247164249
Median_cloud_ext,-0.1774740219116211,0.01230449676513672
Median_gap_min,0.5041999951936305,0.5041999951936305
Median_m5,24.634654374696442,24.448486296757032
Median_seeing,0.7509966887054149,0.7343709624716425
Median_slew_s,3.3873273655208433,2.2777389410196474
Min_cloud_ext,-0.5300979614257812,-0.46975135803222656
N_visits,1028.0,1028.0
Night_duration_h,9.097431666625198,9.097431666625198
Open_shutter_frac,0.9416577096251643,0.9416577096251643
Sky_frac_visited,0.024007161458333332,0.030843098958333332
Total_exposure_h,8.566666666666666,8.566666666666666
Total_photons,93602007.6947401,79654553.58562094
Total_slew_h,1.3837316448446282,0.7488544417803885
fO_area_deg2,990.3665013491768,1272.3691661401288
